State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Florida,278,5,25
Texas,271,8,24
Alabama,257,3,20
South Carolina,217,3,17
Pennsylvania,152,2,9
North Carolina,134,5,14
California,130,4,9
Ohio,128,1,11
Georgia,119,2,14
Iowa,100,2,9
Louisiana,89,2,9
Arkansas,89,2,5
Maryland,88,1,5
Minnesota,78,1,5
Kentucky,67,2,6
Oregon,62,1,5
Arizona,61,1,3
Oklahoma,56,1,8
Indiana,54,1,6
Utah,50,2,3
Illinois,50,1,2
Washington,42,1,2
Mississippi,41,2,4
New York,35,1,3
New Jersey,30,1,1
Wisconsin,28,1,3
Tennessee,25,2,3
Massachusetts,25,1,1
Michigan,21,1,3
Nevada,15,1,2
Missouri,13,1,2
Kansas,12,2,2
West Virginia,10,1,2
Idaho,7,1,1
Nebraska,6,1,1
Virginia,5,1,1
