State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,393,4,35
South Carolina,279,3,34
Texas,266,9,47
Florida,234,6,36
Georgia,194,2,21
Ohio,187,2,25
Indiana,148,3,17
Pennsylvania,146,3,15
Louisiana,126,4,19
California,108,7,27
North Carolina,96,5,19
Mississippi,89,4,18
Iowa,89,2,14
Kentucky,77,2,13
Michigan,75,2,17
Oklahoma,70,3,20
Oregon,70,2,10
Utah,60,3,11
Washington,59,3,9
Arkansas,54,2,8
Maryland,50,1,5
Massachusetts,42,1,4
Virginia,38,3,10
Illinois,33,3,4
Arizona,30,2,8
Kansas,26,3,5
West Virginia,24,2,6
Tennessee,22,2,7
New York,21,2,4
Minnesota,17,1,5
Wisconsin,15,1,6
New Jersey,15,1,2
Idaho,11,1,2
Missouri,8,1,2
Nebraska,7,1,3
Nevada,6,1,2
North Dakota,1,1,1
Colorado,1,1,1
