State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,329,6,45
Texas,319,10,66
Florida,238,8,46
Ohio,215,4,30
Georgia,203,3,23
South Carolina,193,3,35
California,162,7,38
Michigan,115,5,35
Indiana,115,3,20
Oregon,108,2,17
Tennessee,102,4,15
Louisiana,96,5,28
Pennsylvania,96,2,24
Illinois,95,4,10
Utah,93,3,16
Oklahoma,90,4,26
Mississippi,79,4,22
Kentucky,73,3,24
Iowa,73,2,18
Kansas,73,3,9
North Carolina,71,6,29
Washington,64,2,14
Maryland,63,2,13
Arkansas,44,3,10
New York,43,4,9
Virginia,40,7,13
Massachusetts,28,1,5
Minnesota,23,1,4
North Dakota,21,1,3
Missouri,20,2,7
West Virginia,18,3,10
New Jersey,17,2,6
Idaho,15,1,1
Nebraska,14,1,6
South Dakota,13,1,3
Wisconsin,9,1,6
Arizona,6,2,5
Colorado,3,2,2
Connecticut,2,1,2
Wyoming,1,1,1
Montana,1,1,1
Nevada,1,1,1
