State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,339,5,45
Texas,309,10,67
South Carolina,218,3,42
Georgia,214,3,25
Florida,210,7,49
Ohio,192,3,29
California,169,8,37
Pennsylvania,125,2,24
Indiana,122,3,20
North Carolina,112,6,29
Louisiana,103,4,23
Michigan,102,4,32
Oklahoma,94,3,28
Utah,92,3,15
Oregon,89,2,16
Mississippi,82,4,24
Kansas,79,3,7
Iowa,74,2,18
Kentucky,71,2,21
Illinois,69,3,7
Tennessee,65,5,13
Maryland,61,1,10
Washington,60,2,13
Arkansas,54,3,12
New York,48,2,6
Virginia,32,5,12
Minnesota,30,1,5
West Virginia,24,3,11
Missouri,23,2,8
Idaho,21,1,2
Wisconsin,19,1,9
Massachusetts,19,2,6
Arizona,16,2,8
South Dakota,15,1,2
Nebraska,14,1,6
North Dakota,12,1,3
New Jersey,6,2,5
Nevada,2,1,2
Wyoming,1,1,1
Montana,1,1,1
Colorado,1,1,1
