State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,359,10,70
Alabama,301,5,45
Georgia,218,3,25
South Carolina,217,3,43
Ohio,211,4,30
Florida,210,7,50
California,142,8,40
Pennsylvania,127,2,25
Indiana,121,3,21
Michigan,119,5,36
North Carolina,113,6,31
Louisiana,113,4,24
Utah,101,3,15
Oregon,98,2,17
Mississippi,84,4,26
Iowa,80,2,18
Kentucky,78,3,24
Oklahoma,77,4,29
Kansas,76,3,7
Tennessee,75,4,15
Illinois,75,3,8
Washington,57,2,14
New York,53,2,7
Arkansas,51,3,13
Maryland,41,1,10
Minnesota,32,1,7
Virginia,26,5,14
Wisconsin,22,1,9
Arizona,22,2,8
West Virginia,21,3,11
Massachusetts,21,2,7
Missouri,17,2,8
Nebraska,16,1,6
North Dakota,12,1,3
Idaho,11,1,2
South Dakota,10,1,3
New Jersey,9,2,5
Connecticut,6,1,1
Nevada,2,1,2
Wyoming,1,1,1
Montana,1,1,1
Colorado,1,1,1
