State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,371,4,42
Texas,329,10,62
South Carolina,239,3,39
Florida,204,7,43
Georgia,204,2,23
Ohio,194,3,26
California,144,7,35
Louisiana,119,4,23
Pennsylvania,118,2,21
Indiana,117,3,18
North Carolina,105,6,26
Michigan,98,4,29
Oklahoma,96,3,27
Oregon,80,2,14
Utah,80,3,14
Mississippi,78,4,20
Kentucky,72,2,19
Iowa,72,2,17
Maryland,64,1,8
Tennessee,59,4,11
Kansas,53,3,6
Arkansas,50,2,10
Illinois,50,3,6
New York,47,2,5
Washington,46,2,9
Arizona,31,2,8
Virginia,24,5,11
Wisconsin,23,1,9
Missouri,22,2,5
Massachusetts,21,1,5
Idaho,21,1,2
Minnesota,20,1,5
West Virginia,18,2,8
South Dakota,15,1,2
Nebraska,12,1,5
New Jersey,9,2,3
Wyoming,5,1,1
North Dakota,3,1,2
Nevada,2,1,2
Montana,2,1,1
Colorado,1,1,1
