State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,308,13,47
Alabama,300,6,31
Georgia,198,2,16
Ohio,191,4,22
Florida,172,8,27
South Carolina,172,3,16
California,159,7,28
Louisiana,118,4,25
Indiana,116,4,17
Illinois,108,3,10
Tennessee,104,4,11
Pennsylvania,101,2,19
Oregon,96,2,11
Michigan,90,5,19
Iowa,88,3,14
Utah,85,3,9
Kentucky,79,3,16
North Carolina,73,6,19
Oklahoma,71,4,17
Mississippi,67,4,17
Kansas,64,3,8
Maryland,62,2,10
Arkansas,47,2,8
New York,45,4,7
Virginia,39,6,10
Minnesota,29,2,4
Washington,28,2,4
North Dakota,27,1,3
Wisconsin,26,1,5
Massachusetts,24,1,4
Idaho,22,1,3
Nebraska,17,1,6
New Jersey,16,2,5
West Virginia,13,3,8
Missouri,10,2,4
South Dakota,10,1,1
Arizona,5,2,4
Colorado,2,2,2
Montana,1,1,1
Nevada,1,1,1
Wyoming,1,1,1
