State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,322,11,61
Alabama,322,6,44
Florida,222,8,44
Ohio,219,4,30
South Carolina,204,3,34
Georgia,203,3,21
California,155,7,36
Indiana,116,3,21
Tennessee,114,4,14
Michigan,109,5,32
Oregon,102,2,15
Illinois,97,4,10
Pennsylvania,93,2,22
Louisiana,90,5,25
Utah,84,3,13
Oklahoma,83,4,26
Mississippi,81,4,24
Kentucky,78,3,24
North Carolina,73,6,26
Kansas,70,3,8
Maryland,69,2,13
Iowa,64,2,16
New York,48,4,9
Washington,43,2,10
Virginia,40,7,13
Arkansas,37,3,9
North Dakota,28,1,3
Minnesota,27,1,4
Missouri,23,2,6
Massachusetts,23,1,4
West Virginia,19,3,10
New Jersey,19,2,6
Idaho,15,1,1
Nebraska,14,1,6
South Dakota,13,1,3
Wisconsin,12,1,6
Arizona,4,1,4
Colorado,3,2,2
Connecticut,2,1,2
Montana,1,1,1
Nevada,1,1,1
Wyoming,1,1,1
