State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,300,14,48
Alabama,263,6,30
Georgia,199,3,18
Ohio,197,5,25
California,178,8,35
South Carolina,147,4,19
Florida,135,9,27
Michigan,128,8,27
Illinois,128,4,13
Pennsylvania,122,2,19
Iowa,122,3,14
Tennessee,112,5,14
Indiana,104,4,18
Louisiana,100,4,25
Oregon,91,3,14
North Carolina,88,9,28
Kentucky,85,3,18
Oklahoma,83,4,17
Utah,83,3,13
Mississippi,76,4,20
Kansas,67,3,9
Maryland,63,2,10
Wisconsin,46,1,6
New York,41,6,11
Minnesota,39,2,6
Virginia,37,7,11
Arkansas,37,2,9
Massachusetts,33,2,4
North Dakota,27,1,3
Washington,21,2,5
West Virginia,18,3,8
Nebraska,15,1,4
South Dakota,15,1,1
Idaho,14,1,4
New Jersey,13,2,7
Missouri,13,2,6
Arizona,6,3,5
Montana,3,2,3
Colorado,2,2,2
Nevada,2,2,2
New Mexico,1,1,1
Delaware,1,1,1
