State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,411,4,36
South Carolina,274,3,35
Texas,260,9,50
Florida,240,7,39
Georgia,195,2,22
Ohio,193,2,25
Indiana,147,3,17
Pennsylvania,144,3,16
Louisiana,118,4,19
California,108,7,30
North Carolina,104,5,20
Mississippi,87,4,18
Iowa,82,2,14
Michigan,81,2,20
Kentucky,75,2,13
Oklahoma,71,3,20
Oregon,65,2,10
Washington,63,2,9
Utah,62,3,12
Arkansas,52,2,8
Massachusetts,45,1,5
Maryland,45,1,5
Virginia,39,4,11
Illinois,33,3,4
Tennessee,32,2,8
Arizona,30,2,8
Kansas,30,3,5
New York,23,2,4
West Virginia,19,2,6
Wisconsin,17,1,7
Minnesota,17,1,5
New Jersey,15,1,2
Idaho,9,1,2
Missouri,8,1,2
Nebraska,7,1,3
Nevada,6,1,2
South Dakota,2,1,2
North Dakota,1,1,1
Colorado,1,1,1
