State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,336,10,68
Alabama,328,5,45
Florida,264,7,49
South Carolina,214,3,42
Georgia,204,3,25
Ohio,189,3,29
California,144,8,38
Pennsylvania,126,2,24
Indiana,119,3,20
Louisiana,115,4,23
Utah,102,3,15
North Carolina,97,6,29
Michigan,95,4,33
Oklahoma,93,4,29
Kansas,85,3,7
Mississippi,84,4,24
Illinois,79,3,8
Oregon,78,2,16
Kentucky,74,2,21
Iowa,70,2,18
Washington,64,2,13
Tennessee,63,4,13
Maryland,63,1,10
Arkansas,51,3,12
New York,44,2,6
Virginia,35,5,12
Wisconsin,24,1,9
Arizona,22,2,8
Minnesota,20,1,5
Massachusetts,19,2,6
West Virginia,18,3,11
Missouri,18,2,8
Nebraska,15,1,6
South Dakota,12,1,2
Idaho,11,1,2
North Dakota,9,1,3
New Jersey,5,2,5
Nevada,2,1,2
Wyoming,1,1,1
Montana,1,1,1
Colorado,1,1,1
