State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,376,4,39
Texas,279,10,60
South Carolina,250,3,36
Florida,230,7,40
Ohio,195,3,26
Georgia,193,2,22
California,146,7,33
Louisiana,127,4,20
Pennsylvania,124,2,17
Indiana,122,3,17
North Carolina,114,6,22
Michigan,100,3,25
Utah,86,3,14
Oklahoma,82,3,22
Kentucky,81,2,19
Oregon,70,2,12
Iowa,69,2,15
Washington,68,2,9
Mississippi,64,4,20
Kansas,58,3,6
Arkansas,57,2,9
Maryland,45,1,7
Illinois,44,3,6
New York,43,2,5
Tennessee,33,2,7
Virginia,27,4,10
Arizona,25,2,8
Massachusetts,25,1,5
Wisconsin,23,1,8
New Jersey,21,1,2
Minnesota,16,1,5
Idaho,16,1,2
West Virginia,15,2,7
Missouri,12,1,3
South Dakota,12,1,2
North Dakota,7,1,2
Nebraska,6,1,4
Nevada,2,1,2
Colorado,1,1,1
