State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,354,11,57
Alabama,300,6,40
Ohio,209,4,28
Georgia,209,3,22
Florida,180,8,40
California,180,7,34
South Carolina,172,3,26
Indiana,120,4,22
Louisiana,118,5,26
Pennsylvania,109,2,22
Tennessee,108,4,14
Illinois,106,4,12
Michigan,101,5,31
Oregon,96,2,15
Utah,87,3,11
Oklahoma,85,4,25
Kentucky,80,3,20
North Carolina,76,6,26
Iowa,73,2,16
Mississippi,72,4,24
Kansas,62,3,7
Maryland,61,2,13
New York,45,4,8
Washington,43,2,10
Arkansas,38,3,9
Virginia,37,6,11
Minnesota,31,2,4
Massachusetts,23,1,4
North Dakota,22,1,3
West Virginia,21,3,10
Wisconsin,21,1,6
New Jersey,20,2,6
Missouri,18,2,6
Nebraska,16,1,6
Idaho,10,1,1
South Dakota,9,1,3
Arizona,5,1,4
Colorado,2,2,2
Connecticut,2,1,2
Montana,1,1,1
Nevada,1,1,1
Wyoming,1,1,1
