State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,382,4,38
Texas,291,10,57
South Carolina,246,3,37
Florida,239,7,40
Georgia,213,2,22
Ohio,203,4,26
California,155,7,33
Louisiana,130,4,19
Indiana,118,3,17
Michigan,98,2,23
Pennsylvania,93,2,17
North Carolina,89,6,22
Oklahoma,83,3,22
Utah,82,3,14
Kentucky,76,2,17
Kansas,74,3,6
Iowa,71,2,15
Oregon,68,2,11
Mississippi,65,4,20
Maryland,60,1,7
Arkansas,52,2,9
Washington,51,2,9
Illinois,44,3,6
New York,37,2,4
Tennessee,31,2,7
Virginia,27,4,10
Wisconsin,26,1,8
Massachusetts,22,1,5
Missouri,22,1,3
Arizona,18,2,8
Idaho,16,1,2
West Virginia,15,2,7
Minnesota,15,1,5
South Dakota,15,1,2
North Dakota,11,1,2
New Jersey,7,1,2
Nebraska,6,1,4
Nevada,2,1,2
Colorado,1,1,1
