State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,357,12,58
Alabama,296,6,40
Georgia,224,3,22
Ohio,207,4,29
Florida,178,8,40
California,178,7,33
South Carolina,172,3,26
Indiana,120,4,23
Louisiana,118,5,26
Pennsylvania,111,2,22
Oregon,107,2,15
Tennessee,105,4,14
Illinois,102,4,11
Michigan,94,5,27
Utah,92,3,11
Oklahoma,88,4,25
Iowa,77,2,16
Kentucky,76,3,20
North Carolina,72,6,26
Mississippi,67,4,24
Kansas,62,3,7
Maryland,57,2,13
New York,40,4,8
Washington,38,2,9
Arkansas,35,3,9
Virginia,31,6,11
Minnesota,29,2,4
North Dakota,27,1,3
Massachusetts,23,1,4
Wisconsin,22,1,6
Missouri,20,2,6
Idaho,20,1,2
New Jersey,19,2,6
West Virginia,17,3,10
Nebraska,14,1,6
South Dakota,10,1,3
Arizona,9,1,4
Colorado,2,2,2
Connecticut,2,1,2
Montana,1,1,1
Nevada,1,1,1
Wyoming,1,1,1
