State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,294,14,47
Alabama,257,6,30
Georgia,201,3,18
Ohio,195,5,25
California,173,8,35
South Carolina,153,4,19
Florida,138,7,25
Illinois,134,4,13
Iowa,127,3,14
Pennsylvania,125,2,19
Michigan,122,7,25
Tennessee,113,5,14
Indiana,101,4,17
Louisiana,100,4,24
Oregon,91,3,14
Kentucky,90,3,18
North Carolina,88,9,26
Utah,81,3,12
Oklahoma,77,4,17
Mississippi,70,4,20
Maryland,68,2,10
Kansas,63,3,9
New York,42,6,11
Arkansas,42,2,8
Wisconsin,41,1,6
Minnesota,39,2,6
Virginia,35,7,11
Massachusetts,28,2,4
Washington,27,2,5
North Dakota,26,1,3
West Virginia,18,3,8
Nebraska,16,1,4
South Dakota,15,1,1
New Jersey,13,2,7
Idaho,13,1,4
Missouri,12,2,5
Arizona,6,3,5
Colorado,2,2,2
Nevada,2,2,2
Montana,1,1,1
New Mexico,1,1,1
Delaware,1,1,1
