State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,357,4,38
Texas,280,10,56
South Carolina,245,3,36
Florida,241,7,40
Georgia,234,2,22
Ohio,193,3,25
California,150,7,32
Louisiana,142,4,19
Indiana,140,3,17
North Carolina,95,6,22
Pennsylvania,95,2,16
Michigan,94,2,23
Oklahoma,87,3,22
Utah,86,3,14
Mississippi,70,4,20
Kentucky,70,2,16
Oregon,69,2,11
Iowa,67,2,15
Kansas,62,3,5
Washington,53,2,9
Arkansas,52,2,9
Maryland,50,1,6
Illinois,41,3,6
New York,38,2,4
Tennessee,32,2,7
Massachusetts,29,1,5
Wisconsin,25,1,8
Virginia,24,4,10
Missouri,22,1,3
Arizona,21,2,8
West Virginia,16,2,7
Minnesota,13,1,5
North Dakota,12,1,2
Idaho,11,1,2
South Dakota,10,1,2
Nebraska,9,1,4
New Jersey,8,1,2
Nevada,2,1,2
Colorado,1,1,1
