Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,Caleb Williams,USC,QB,2024-04-23,1,CHICAGO BEARS,California,Pac 12,35
2,1,Drake Maye,North Carolina,QB,2024-04-23,3,NEW ENGLAND PATRIOTS,North Carolina,ACC,35
3,1,Marvin Harrison Jr.,Ohio State,WR,2024-04-23,4,ARIZONA CARDINALS,Ohio,Big Ten,35
4,1,Jayden Daniels,LSU,QB,2024-04-23,2,WASHINGTON COMMANDERS,Louisiana,SEC,35
5,1,Malik Nabers,LSU,WR,2024-04-23,5,LOS ANGELES CHARGERS,Louisiana,SEC,35
6,5,Rome Odunze,Washington,WR,2024-04-23,6,NEW YORK GIANTS,Washington,Pac 12,35
7,6,J.J. McCarthy,Michigan,QB,2024-04-23,11,MINNESOTA VIKINGS,Michigan,Big Ten,35
8,5,Joe Alt,Notre Dame,OT,2024-04-23,7,TENNESSEE TITANS,Indiana,FBS - Independent,35
9,5,Dallas Turner,Alabama,EDGE,2024-04-23,8,ATLANTA FALCONS,Alabama,SEC,35
10,4,Brock Bowers,Georgia,TE,2024-04-23,10,NEW YORK JETS,Georgia,SEC,35
11,11,Quinyon Mitchell,Toledo,CB,2024-04-23,15,INDIANAPOLIS COLTS,Ohio,FBS - MAC,30
12,2,Terrion Arnold,Alabama,CB,2024-04-23,17,JACKSONVILLE JAGUARS,Alabama,SEC,30
13,11,Laiatu Latu,UCLA,EDGE,2024-04-23,19,LOS ANGELES RAMS,California,Pac 12,30
14,11,Jared Verse,Florida State,EDGE,2024-04-23,9,CHICAGO BEARS,Florida,ACC,30
15,15,Byron Murphy,Texas,DL,2024-04-23,18,CINCINNATI BENGALS,Texas,Big 12,30
16,1,Olumuyiwa Fashanu,Penn State,OT,2024-04-23,14,NEW ORLEANS SAINTS,Pennsylvania,Big Ten,30
17,11,Taliese Fuaga,Oregon State,OT,2024-04-23,13,LAS VEGAS RAIDERS,Oregon,Pac 12,30
18,10,Brian Thomas Jr.,LSU,WR,2024-04-23,N/A,,Louisiana,SEC,30
19,4,Cooper DeJean,Iowa,CB,2024-04-23,22,PHILADELPHIA EAGLES,Iowa,Big Ten,30
20,12,J.C. Latham,Alabama,OT,2024-04-23,N/A,,Alabama,SEC,30
21,17,Troy Fautanu,Washington,OT,2024-04-23,16,SEATTLE SEAHAWKS,Washington,Pac 12,30
22,9,Amarius Mims,Georgia,OT,2024-04-23,24,DALLAS COWBOYS,Georgia,SEC,30
23,9,Nate Wiggins,Clemson,CB,2024-04-23,N/A,,South Carolina,ACC,30
24,11,Kool-Aid McKinstry,Alabama,CB,2024-04-23,27,ARIZONA CARDINALS,Alabama,SEC,30
25,21,Graham Barton,Duke,IOL,2024-04-23,20,PITTSBURGH STEELERS,North Carolina,ACC,30
26,7,Jer'Zhan Newton,Illinois,DL,2024-04-23,21,MIAMI DOLPHINS,Illinois,Big Ten,25
27,17,Demeioun Robinson,Penn State,EDGE,2024-04-23,26,TAMPA BAY BUCCANEERS,Pennsylvania,Big Ten,25
28,25,Adonai Mitchell,Texas,WR,2024-04-23,28,BUFFALO BILLS,Texas,Big 12,25
29,17,Jackson Powers-Johnson,Oregon,IOL,2024-04-23,31,SAN FRANCISCO 49ERS,Oregon,Pac 12,25
30,27,Tyler Guyton,Oklahoma,OT,2024-04-23,25,GREEN BAY PACKERS,Oklahoma,Big 12,25
31,12,Michael Penix Jr.,Washington,QB,2024-04-23,23,MINNESOTA VIKINGS,Washington,Pac 12,25
32,32,Ladd McConkey,Georgia,WR,2024-04-23,32,KANSAS CITY CHIEFS,Georgia,SEC,25
33,31,Darius Robinson,Missouri,EDGE,2024-04-23,29,DETROIT LIONS,Missouri,SEC,25
34,22,Bo Nix,Oregon,QB,2024-04-23,12,DENVER BRONCOS,Oregon,Pac 12,25
35,2,Xavier Worthy,Texas,WR,2024-04-23,N/A,,Texas,Big 12,25
36,30,Jordan Morgan,Arizona,OT,2024-04-23,30,BALTIMORE RAVENS,Arizona,Pac 12,20
37,30,Ennis Rakestraw Jr.,Missouri,CB,2024-04-23,39,CAROLINA PANTHERS,Missouri,SEC,20
38,25,Troy Franklin,Oregon,WR,2024-04-23,33,CAROLINA PANTHERS,Oregon,Pac 12,20
39,38,Edgerrin Cooper,Texas A&M,LB,2024-04-23,41,GREEN BAY PACKERS,Texas,SEC,20
40,1,Keon Coleman,Florida State,WR,2024-04-23,36,WASHINGTON COMMANDERS,Florida,ACC,20
41,41,Zach Frazier,West Virginia,IOL,2024-04-23,35,ARIZONA CARDINALS,West Virginia,Big 12,20
42,4,Mike Sainristil,Michigan,CB,2024-04-23,37,LOS ANGELES CHARGERS,Michigan,Big Ten,20
43,28,Kingsley Suamataia,BYU,OT,2024-04-23,47,NEW YORK GIANTS,Utah,FBS - Independent,20
44,34,Xavier Legette,South Carolina,WR,2024-04-23,34,NEW ENGLAND PATRIOTS,South Carolina,SEC,20
45,35,Payton Wilson,NC State,LB,2024-04-23,50,PHILADELPHIA EAGLES,North Carolina,ACC,20
46,16,Braden Fiske,Florida State,DL,2024-04-23,42,HOUSTON TEXANS,Florida,ACC,20
47,41,Ricky Pearsall,Florida,WR,2024-04-23,46,INDIANAPOLIS COLTS,Florida,SEC,20
48,32,Tyler Nubin,Minnesota,S,2024-04-23,N/A,,Minnesota,Big Ten,20
49,39,Kris Jenkins,Michigan,DL,2024-04-23,54,CLEVELAND BROWNS,Michigan,Big Ten,20
50,47,Jonathon Brooks,Texas,RB,2024-04-23,56,DALLAS COWBOYS,Texas,Big 12,20
51,39,Chris Braswell,Alabama,EDGE,2024-04-23,40,WASHINGTON COMMANDERS,Alabama,SEC,20
52,49,Michael Hall Jr.,Ohio State,DL,2024-04-23,52,LOS ANGELES RAMS,Ohio,Big Ten,20
53,46,T.J. Tampa,Iowa State,CB,2024-04-23,59,HOUSTON TEXANS,Iowa,Big 12,20
54,43,Roman Wilson,Michigan,WR,2024-04-23,51,PITTSBURGH STEELERS,Michigan,Big Ten,20
