Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,Marvin Harrison Jr.,Ohio State,WR,2023-11-03,2,CHICAGO BEARS,Ohio,Big Ten,35
2,1,Caleb Williams,USC,QB,2023-11-03,1,ARIZONA CARDINALS,California,Pac 12,35
3,1,Drake Maye,North Carolina,QB,2023-11-03,3,CHICAGO BEARS,North Carolina,ACC,35
4,3,Brock Bowers,Georgia,TE,2023-11-03,7,INDIANAPOLIS COLTS,Georgia,SEC,35
5,2,Jared Verse,Florida State,EDGE,2023-11-03,9,DENVER BRONCOS,Florida,ACC,35
6,4,Olumuyiwa Fashanu,Penn State,OT,2023-11-03,5,NEW ENGLAND PATRIOTS,Pennsylvania,Big Ten,35
7,1,Kool-Aid McKinstry,Alabama,CB,2023-11-03,6,GREEN BAY PACKERS,Alabama,SEC,35
8,2,Joe Alt,Notre Dame,OT,2023-11-03,4,NEW YORK GIANTS,Indiana,FBS - Independent,35
9,3,Dallas Turner,Alabama,EDGE,2023-11-03,10,WASHINGTON COMMANDERS,Alabama,SEC,35
10,8,Laiatu Latu,UCLA,EDGE,2023-11-03,20,MINNESOTA VIKINGS,California,Pac 12,35
11,8,Jer'Zhan Newton,Illinois,DL,2023-11-03,8,LAS VEGAS RAIDERS,Illinois,Big Ten,30
12,11,Malik Nabers,LSU,WR,2023-11-03,12,TENNESSEE TITANS,Louisiana,SEC,30
13,1,Emeka Egbuka,Ohio State,WR,2023-11-03,18,CINCINNATI BENGALS,Ohio,Big Ten,30
14,13,Keon Coleman,Florida State,WR,2023-11-03,14,TAMPA BAY BUCCANEERS,Florida,ACC,30
15,9,J.C. Latham,Alabama,OT,2023-11-03,11,LOS ANGELES RAMS,Alabama,SEC,30
16,10,Cooper DeJean,Iowa,S,2023-11-03,22,PITTSBURGH STEELERS,Iowa,Big Ten,30
17,7,Kalen King,Penn State,CB,2023-11-03,13,ARIZONA CARDINALS,Pennsylvania,Big Ten,30
18,13,Demeioun Robinson,Penn State,EDGE,2023-11-03,25,SEATTLE SEAHAWKS,Pennsylvania,Big Ten,30
19,11,Rome Odunze,Washington,WR,2023-11-03,31,KANSAS CITY CHIEFS,Washington,Pac 12,30
20,16,Amarius Mims,Georgia,OT,2023-11-03,33,ARIZONA CARDINALS,Georgia,SEC,30
21,5,J.T. Tuimoloau,Ohio State,EDGE,2023-11-03,16,NEW ORLEANS SAINTS,Ohio,Big Ten,30
