Rank,Player Name,Position,College
1,Fernando Mendoza,QB,Indiana
2,Rueben Bain,EDGE,Miami (FL)
3,Dante Moore,QB,Oregon
4,Ty Simpson,QB,Alabama
5,Caleb Downs,S,Ohio State
6,Jordyn Tyson,WR,Arizona State
7,Arvell Reese,LB,Ohio State
8,Spencer Fano,OT,Utah
9,Peter Woods,DL,Clemson
10,Keldric Faulk,EDGE,Auburn
11,Francis Mauigoa,OT,Miami (FL)
12,LaNorris Sellers,QB,South Carolina
13,T.J. Parker,EDGE,Clemson
14,Carnell Tate,WR,Ohio State
15,Mansoor Delane,CB,LSU
16,Jeremiyah Love,RB,Notre Dame
17,Kadyn Proctor,OT,Alabama
18,Jermod McCoy,CB,Tennessee
19,David Bailey,EDGE,Texas Tech
20,Garrett Nussmeier,QB,LSU
21,Kenyon Sadiq,TE,Oregon
22,Avieon Terrell,CB,Clemson
23,Makai Lemon,WR,USC
24,Caleb Lomu,OT,Utah
25,Cashius Howell,EDGE,Texas A&M
26,Sonny Styles,LB,Ohio State
27,Denzel Boston,WR,Washington
28,Olaivavega Ioane,IOL,Penn State
29,Matayo Uiagalelei,EDGE,Oregon
30,C.J. Allen,LB,Georgia
31,Colton Hood,CB,Tennessee
32,L.T. Overton,EDGE,Alabama
33,Chris Bell,WR,Louisville
34,Anthony Hill Jr.,LB,Texas
35,Caleb Banks,DL,Florida
36,A'Mauri Washington,DL,Oregon
37,Gennings Dunker,OT,Iowa
38,Connor Lew,IOL,Auburn
39,Chris Brazzell,WR,Tennessee
40,Isaiah World,OT,Oregon
41,Barika Kpeenu,RB,North Dakota State
42,A.J. Harris,CB,Penn State
43,Kevin Concepcion,WR,Texas A&M
44,Christen Miller,DL,Georgia
45,R Mason Thomas,EDGE,Oklahoma
46,Jayden Maiava,QB,USC
47,Dillon Thieneman,S,Oregon
48,Quincy Rhodes Jr.,EDGE,Arkansas
49,Joshua Josephs,EDGE,Tennessee
50,Kayden McDonald,DL,Ohio State
51,Romello Height,EDGE,Texas Tech
52,Justice Haynes,RB,Michigan
53,Zion Young,EDGE,Missouri
54,Dani Dennis-Sutton,EDGE,Penn State
55,John Mateer,QB,Oklahoma
56,Davison Igbinosun,CB,Ohio State
57,Trevor Goosby,OT,Texas
58,Kamari Ramsey,S,USC
59,Ja'Kobi Lane,WR,USC
60,Germie Bernard,WR,Alabama
61,Brian Parker II,OT,Duke
