Rank,Player Name,Position,College
1,Arch Manning,QB,Texas
2,Cade Klubnik,QB,Clemson
3,LaNorris Sellers,QB,South Carolina
4,Garrett Nussmeier,QB,LSU
5,Caleb Downs,S,Ohio State
6,Peter Woods,DL,Clemson
7,T.J. Parker,DL,Clemson
8,Kadyn Proctor,OT,Alabama
9,Fernando Mendoza,QB,Indiana
10,Spencer Fano,OT,Utah
11,Francis Mauigoa,OT,Miami (FL)
12,Keldric Faulk,DL,Auburn
13,Jermod McCoy,CB,Tennessee
14,Drew Allar,QB,Penn State
15,Jeremiyah Love,RB,Notre Dame
16,Jordyn Tyson,WR,Arizona State
17,Caleb Lomu,OT,Utah
18,Rueben Bain,EDGE,Miami (FL)
19,Avieon Terrell,CB,Clemson
20,Caleb Banks,DL,Florida
21,Anthony Hill Jr.,LB,Texas
22,L.T. Overton,EDGE,Alabama
23,Matayo Uiagalelei,EDGE,Oregon
24,Dani Dennis-Sutton,EDGE,Penn State
25,Isaiah World,OT,Oregon
26,Antonio Williams,WR,Clemson
27,Dillon Thieneman,S,Oregon
28,C.J. Allen,LB,Georgia
29,Carnell Tate,WR,Ohio State
30,Christen Miller,DL,Georgia
31,Jalon Kilgore,CB,South Carolina
32,Denzel Boston,WR,Washington
33,Kenyon Sadiq,TE,Oregon
34,Drew Shelton,OT,Penn State
35,Xavier Chaplin,OT,Auburn
36,Sonny Styles,LB,Ohio State
37,A.J. Harris,CB,Penn State
38,Trevor Goosby,OT,Texas
39,Max Klare,TE,Ohio State
40,Connor Lew,IOL,Auburn
41,Malik Muhammad,CB,Texas
42,David Bailey,EDGE,Texas Tech
43,Sam Leavitt,QB,Arizona State
44,Harold Perkins,LB,LSU
45,Eric Singleton Jr.,WR,Auburn
46,Nick Singleton,RB,Penn State
47,Eli Stowers,TE,Vanderbilt
48,Domani Jackson,CB,Alabama
49,DJ McKinney,CB,Colorado
50,Austin Barber,OT,Florida
51,Makai Lemon,WR,USC
52,Gabe Jacas,EDGE,Illinois
53,John Mateer,QB,Oklahoma
54,Ja'Kobi Lane,WR,USC
55,Deontae Lawson,LB,Alabama
56,Will Lee III,CB,Texas A&M
57,Chris Bell,WR,Louisville
58,Cayden Green,OT,Missouri
59,Jake Slaughter,IOL,Florida
60,Anto Saka,EDGE,Northwestern
61,Tyreak Sapp,DL,Florida
62,Cashius Howell,EDGE,Texas A&M
63,Emmanuel Pregnon,IOL,Oregon
64,Zachariah Branch,WR,Georgia
65,Germie Bernard,WR,Alabama
66,Suntarine Perkins,LB,Mississippi
67,Max Iheanachor,OT,Arizona State
68,Kamari Ramsey,S,USC
69,Zion Young,EDGE,Missouri
70,Chandler Rivers,CB,Duke
71,Jude Bowry,OT,Boston College
72,Kevin Concepcion,WR,Texas A&M
73,Nyck Harbor,WR,South Carolina
74,Keith Abney II,CB,Arizona State
75,Parker Brailsford,IOL,Alabama
76,R Mason Thomas,EDGE,Oklahoma
77,Whit Weeks,LB,LSU
78,Mansoor Delane,CB,LSU
79,Zane Durant,DL,Penn State
80,Mikail Kamara,EDGE,Indiana
81,Logan Jones,IOL,Iowa
82,Dontay Corleone,DL,Cincinnati
83,Caleb Tiernan,OT,Northwestern
84,Darrell Jackson Jr.,DL,Florida State
85,Daylen Everette,CB,Georgia
86,Blake Miller,OT,Clemson
87,D'angelo Ponds,CB,Indiana
88,Xavier Scott,S,Illinois
89,Kaytron Allen,RB,Penn State
90,Aamil Wagner,OT,Notre Dame
91,Keon Sabb,S,Alabama
92,Aaron Graves,DL,Iowa
93,Gennings Dunker,OT,Iowa
94,Makhi Hughes,RB,Oregon
95,Tacario Davis,CB,Washington
96,DeMonte Capehart,DL,Clemson
97,D.J. Campbell,IOL,Texas
98,Tim Keenan III,DL,Alabama
99,Quintrevion Wisner,RB,Texas
100,Jaishawn Barham,LB,Michigan
101,Elijah Sarratt,WR,Indiana
102,Jack Endries,TE,California
103,Gracen Halton,DL,Oklahoma
104,Michael Taaffe,S,Texas
105,Lawson Luckie,TE,Georgia
106,Patrick Payton,EDGE,LSU
107,Jaeden Roberts,IOL,Alabama
108,Kage Casey,OT,Boise State
109,Charles Jagusah,OT,Notre Dame
110,Amare Ferrell,S,Indiana
111,Jaydn Ott,RB,Oklahoma
112,Christian Gray,CB,Notre Dame
113,Tao Johnson,S,Utah
114,Davison Igbinosun,CB,Ohio State
115,Trey Moore,EDGE,Texas
116,Drayk Bowen,LB,Notre Dame
117,Damon Wilson Jr.,EDGE,Georgia
118,Nic Anderson,WR,LSU
119,Aaron Anderson,WR,LSU
120,Domonique Orange,DL,Iowa State
121,Tristan Leigh,OT,Clemson
122,Evan Stewart,WR,Oregon
123,Chase Bisontis,IOL,Texas A&M
124,Lander Barton,LB,Utah
125,Aidan Chiles,QB,Michigan State
126,Fa'alili Fa'amoe,OT,Wake Forest
127,Keanu Tanuvasa,DL,Utah
128,Eric Rivers,WR,Georgia Tech
129,Knijeah Harris,IOL,Florida
130,Josh Cameron,WR,Baylor
131,Boubacar Traore,DL,Notre Dame
132,Zeke Berry,S,Michigan
133,Trey Zuhn III,OT,Texas A&M
134,Joshua Josephs,EDGE,Tennessee
135,Olaivavega Ioane,IOL,Penn State
136,Anthony Smith,DL,Minnesota
137,Ryan Baer,IOL,Pittsburgh
138,Joe Royer,TE,Cincinnati
139,Princewill Umanmielen,EDGE,Mississippi
140,Xavier Nwankpa,S,Iowa
141,Oscar Delp,TE,Georgia
142,P.J. Williams,OT,SMU
143,Fernando Carmona,OT,Arkansas
144,James Smith,DL,Alabama
145,Derrick Moore,EDGE,Michigan
146,C.J. Baxter,RB,Texas
147,Jaden Greathouse,WR,Notre Dame
148,Ben Murawski,IOL,UConn
149,Justice Haynes,RB,Michigan
150,DeAndre Moore Jr.,WR,Texas
151,Deion Burks,WR,Oklahoma
152,Max Llewellyn,EDGE,Iowa
153,Raylen Wilson,LB,Georgia
154,McKale Boley,IOL,Virginia
155,Amare Campbell,LB,North Carolina
156,J.Michael Sturdivant,WR,Florida
157,Judge Collier,CB,South Carolina
158,Taurean York,LB,Texas A&M
159,Dalton Brooks,S,Texas A&M
160,Riley Mahlman,OT,Wisconsin
161,Malachi Fields,WR,Virginia
162,Collin Wright,CB,Stanford
163,Kenyatta Jackson,EDGE,Ohio State
164,Jaheim Oatis,DL,Colorado
165,Greg Johnson,IOL,Minnesota
166,Earnest Greene,OT,Georgia
167,Jonah Coleman,RB,Washington
168,Justin Joly,TE,NC State
169,Darius Taylor,RB,Minnesota
170,Markis Deal,DL,TCU
171,Iapani Laloulu,IOL,Oregon
172,Brett Norfleet,TE,Missouri
173,Kade Pieper,IOL,Iowa
174,Matthew Hibner,TE,SMU
175,Emmanuel McNeil-Warren,S,Toledo
176,Jontez Williams,CB,Iowa State
177,Qua Russaw,EDGE,Alabama
178,Bryce Lance,WR,North Dakota State
179,R.J. Maryland,TE,SMU
180,Kayden McDonald,DL,Ohio State
181,Dane Key,WR,Nebraska
182,Ar'maj Reed-Adams,IOL,Texas A&M
183,Ashton Stamps,CB,LSU
184,Kerry Brown,S,Minnesota
185,Duce Robinson,WR,Florida State
186,Avery Johnson,QB,Kansas State
187,Braelin Moore,IOL,LSU
188,Rene Konga,DL,Louisville
189,John Michael Gyllenborg,TE,Wyoming
190,Teague Andersen,IOL,NC State
191,Sawyer Robertson,QB,Baylor
192,BJ Williams,IOL,Pittsburgh
193,Le'Veon Moss,RB,Texas A&M
194,Kaleb Jackson,RB,LSU
195,Keylan Rutledge,IOL,Georgia Tech
196,Nico Iamaleava,QB,UCLA
197,Tanner Koziol,TE,Wisconsin
198,Jamarion Miller,RB,Alabama
199,Maurice Westmoreland,EDGE,UTEP
200,Jermaine Mathews Jr.,CB,Ohio State
201,Theo Melin Ohrstrom,TE,Texas A&M
202,Anthony Donkoh,OT,Penn State
203,Treydan Stukes,CB,Arizona
204,Miller Moss,QB,Louisville
205,Cruce Brookins,S,Pittsburgh
206,Isaiah Nwokobia,S,SMU
207,Josh Hoover,QB,TCU
208,Ben Taylor-Whitfield,OT,TCU
209,Kobe Baynes,IOL,Kansas
210,Eugene Wilson III,WR,Florida
211,Dean Miller,EDGE,Kansas
212,DJ Harvey,CB,USC
213,Ethan Onianwa,OT,Ohio State
214,Albert Regis,DL,Texas A&M
215,Bryson Washington,RB,Baylor
216,Adon Shuler,S,Notre Dame
217,Christian Alliegro,LB,Wisconsin
218,Austin Romaine,LB,Kansas State
219,Quinten Joyner,RB,Texas Tech
220,Alexander Doost,IOL,Arizona
221,Dorion Strawn,IOL,Texas State
222,Carson Beck,QB,Miami (FL)
223,Cameron Calhoun,CB,Alabama
224,J.C. Davis,OT,Illinois
225,Zxavian Harris,DL,Mississippi
226,Adonijah Green,DL,Louisville
227,Josh Thompson,IOL,LSU
