Rank,Player Name,Position,College
1,Garrett Nussmeier,QB,LSU
2,LaNorris Sellers,QB,South Carolina
3,Spencer Fano,OT,Utah
4,Peter Woods,DL,Clemson
5,Caleb Downs,S,Ohio State
6,Arch Manning,QB,Texas
7,Francis Mauigoa,OT,Miami (FL)
8,Rueben Bain,EDGE,Miami (FL)
9,Cade Klubnik,QB,Clemson
10,Keldric Faulk,EDGE,Auburn
11,T.J. Parker,EDGE,Clemson
12,Jermod McCoy,CB,Tennessee
13,Fernando Mendoza,QB,Indiana
14,Jordyn Tyson,WR,Arizona State
15,Kadyn Proctor,OT,Alabama
16,Drew Allar,QB,Penn State
17,Jeremiyah Love,RB,Notre Dame
18,John Mateer,QB,Oklahoma
19,Avieon Terrell,CB,Clemson
20,Anthony Hill Jr.,LB,Texas
21,Matayo Uiagalelei,EDGE,Oregon
22,Caleb Lomu,OT,Utah
23,Dani Dennis-Sutton,EDGE,Penn State
24,Caleb Banks,DL,Florida
25,Carnell Tate,WR,Ohio State
26,Kenyon Sadiq,TE,Oregon
27,L.T. Overton,EDGE,Alabama
28,C.J. Allen,LB,Georgia
29,Isaiah World,OT,Oregon
30,Dillon Thieneman,S,Oregon
31,Sonny Styles,LB,Ohio State
32,Antonio Williams,WR,Clemson
33,Trevor Goosby,OT,Texas
34,David Bailey,EDGE,Texas Tech
35,Makai Lemon,WR,USC
36,Connor Lew,IOL,Auburn
37,Nick Singleton,RB,Penn State
38,A.J. Harris,CB,Penn State
39,Denzel Boston,WR,Washington
40,Mansoor Delane,CB,LSU
41,Kolt Dieterich,OT,Sam Houston State
42,Xavier Chaplin,OT,Auburn
43,DJ McKinney,CB,Colorado
44,Christen Miller,DL,Georgia
45,Jalon Kilgore,S,South Carolina
46,Suntarine Perkins,LB,Mississippi
47,Malik Muhammad,CB,Texas
48,Drew Shelton,OT,Penn State
49,Domani Jackson,CB,Alabama
50,Max Klare,TE,Ohio State
51,Austin Barber,OT,Florida
52,Domonique Orange,DL,Iowa State
53,Nyck Harbor,WR,South Carolina
54,Will Lee III,CB,Texas A&M
55,Ja'Kobi Lane,WR,USC
56,Daylen Everette,CB,Georgia
57,Carson Beck,QB,Miami (FL)
58,Chris Bell,WR,Louisville
59,Jake Slaughter,IOL,Florida
60,Harold Perkins,LB,LSU
61,Gabe Jacas,EDGE,Illinois
62,Zachariah Branch,WR,Georgia
63,Jalen Walthall,WR,Incarnate Word
64,Eric Singleton Jr.,WR,Auburn
65,Cashius Howell,EDGE,Texas A&M
66,Zion Young,EDGE,Missouri
67,Sam Leavitt,QB,Arizona State
68,Gennings Dunker,OT,Iowa
69,Parker Brailsford,IOL,Alabama
70,Anto Saka,EDGE,Northwestern
71,Whit Weeks,LB,LSU
72,Keith Abney II,CB,Arizona State
73,Xavier Scott,S,Illinois
74,Chandler Rivers,CB,Duke
75,R Mason Thomas,EDGE,Oklahoma
76,Deontae Lawson,LB,Alabama
77,Tyreak Sapp,EDGE,Florida
78,Aaron Graves,DL,Iowa
79,Darrell Jackson Jr.,DL,Florida State
80,Arvell Reese,LB,Ohio State
81,Kamari Ramsey,S,USC
82,Zane Durant,DL,Penn State
83,Dontay Corleone,DL,Cincinnati
84,C.J. Baxter,RB,Texas
85,Emmanuel Pregnon,IOL,Oregon
86,Olaivavega Ioane,IOL,Penn State
87,Aiden Fisher,LB,Indiana
88,Jonah Coleman,RB,Washington
89,Eli Stowers,TE,Vanderbilt
90,Keenan Nelson Jr.,S,Ohio State
91,Keon Sabb,S,Alabama
92,Joshua Josephs,EDGE,Tennessee
93,Davison Igbinosun,CB,Ohio State
94,DeMonte Capehart,DL,Clemson
95,Tacario Davis,CB,Washington
96,Kevin Concepcion,WR,Texas A&M
97,Justice Haynes,RB,Michigan
98,Amare Ferrell,S,Indiana
99,Jack Endries,TE,Texas
100,Cayden Green,OT,Missouri
101,Dante Moore,QB,Oregon
102,Tim Keenan III,DL,Alabama
103,Max Iheanachor,OT,Arizona State
104,Brett Thorson,P,Georgia
105,Caleb Tiernan,OT,Northwestern
106,Bryce Lance,WR,North Dakota State
107,Jude Bowry,OT,Boston College
108,Michael Taaffe,S,Texas
109,Jaishawn Barham,LB,Michigan
110,Chase Bisontis,IOL,Texas A&M
111,Noah Thomas,WR,Georgia
112,Akheem Mesidor,EDGE,Miami (FL)
113,Kaytron Allen,RB,Penn State
114,Fa'alili Fa'amoe,OT,Wake Forest
115,Christian Gray,CB,Notre Dame
116,Zakee Wheatley,S,Penn State
117,Darian Mensah,QB,Duke
118,Ar'maj Reed-Adams,IOL,Texas A&M
119,Taurean York,LB,Texas A&M
120,Nic Anderson,WR,LSU
121,Caleb Douglas,WR,Texas Tech
122,Germie Bernard,WR,Alabama
123,Makhi Hughes,RB,Oregon
124,Quintrevion Wisner,RB,Texas
125,Trey Zuhn III,OT,Texas A&M
126,Bryce Foster,IOL,Kansas
127,Tao Johnson,S,Utah
128,Josh Cameron,WR,Baylor
129,Aaron Anderson,WR,LSU
130,Oscar Delp,TE,Georgia
131,Tristan Leigh,OT,Clemson
132,Elijah Sarratt,WR,Indiana
133,Lander Barton,LB,Utah
134,Deion Burks,WR,Oklahoma
135,Dalton Brooks,S,Texas A&M
136,Nico Iamaleava,QB,UCLA
137,Gracen Halton,DL,Oklahoma
138,Jaeden Roberts,IOL,Alabama
139,Carver Willis,OT,Washington
140,Emmanuel McNeil-Warren,S,Toledo
141,Blake Miller,OT,Clemson
142,Riley Mahlman,OT,Wisconsin
143,Judge Collier,CB,South Carolina
144,Anthony Lucas,EDGE,USC
145,Jamarion Miller,RB,Alabama
146,Jacob Thomas,S,James Madison
147,Anthony Smith,DL,Minnesota
148,Jermaine Mathews Jr.,CB,Ohio State
149,Noah Josey,IOL,Virginia
150,C.J. Daniels,WR,Miami (FL)
151,Fisher Camac,EDGE,Virginia
152,D'angelo Ponds,CB,Indiana
153,Sawyer Robertson,QB,Baylor
154,Xavier Nwankpa,S,Iowa
155,Aamil Wagner,OT,Notre Dame
156,Mikail Kamara,EDGE,Indiana
157,Jaydn Ott,RB,Oklahoma
158,Eric O'Neill,EDGE,Rutgers
159,LJ Martin,RB,BYU
160,Lawson Luckie,TE,Georgia
161,D.J. Campbell,IOL,Texas
162,Logan Jones,IOL,Iowa
163,Kyle Louis,LB,Pittsburgh
164,Derrick Moore,EDGE,Michigan
165,Patrick Payton,EDGE,LSU
166,Darius Taylor,RB,Minnesota
167,Iapani Laloulu,IOL,Oregon
168,Trey Moore,EDGE,Texas
169,Griffin Wilde,WR,Northwestern
170,Raylen Wilson,LB,Georgia
171,Jack Velling,TE,Michigan State
172,Rayshaun Benny,DL,Michigan
173,Jyaire Hill,CB,Michigan
174,Malachi Fields,WR,Notre Dame
175,Rene Konga,DL,Louisville
176,Jadarian Price,RB,Notre Dame
177,Charles Jagusah,IOL,Notre Dame
178,Roman Hemby,RB,Indiana
179,Davaughn Patterson,S,Wake Forest
180,Eugene Wilson III,WR,Florida
181,Roy Williams,EDGE,Northern Illinois
182,Kage Casey,OT,Boise State
183,Carlos Hernandez,WR,Wake Forest
184,Eric Rivers,WR,Georgia Tech
185,Boubacar Traore,DL,Notre Dame
186,Joe Royer,TE,Cincinnati
187,Dean Miller,EDGE,Kansas
188,Earnest Greene,OT,Georgia
189,Kenyatta Jackson,EDGE,Ohio State
190,Kevin Jennings,QB,SMU
191,Demond Claiborne,RB,Wake Forest
192,Aidan Chiles,QB,Michigan State
193,Theo Melin Ohrstrom,TE,Texas A&M
194,Miller Moss,QB,Louisville
195,Marlin Klein,TE,Michigan
196,Zxavian Harris,DL,Mississippi
197,Isaiah Nwokobia,S,SMU
198,Kelby Collins,DL,Alabama
199,Drayk Bowen,LB,Notre Dame
200,Max Tomzcak,WR,Youngstown State
201,John Michael Gyllenborg,TE,Wyoming
202,Quinten Christensen,IOL,South Dakota State
203,Austin Romaine,LB,Kansas State
204,Rod Moore,S,Michigan
205,Evan Stewart,WR,Oregon
206,Damon Wilson Jr.,EDGE,Missouri
207,Tanner Arkin,TE,Illinois
208,Jaheim Oatis,DL,Colorado
209,Amare Campbell,LB,Penn State
210,Ryan Baer,IOL,Pittsburgh
211,Kade Pieper,IOL,Iowa
212,Teague Andersen,IOL,NC State
213,R.J. Maryland,TE,SMU
214,Bray Hubbard,S,Alabama
215,Tomas Rimac,IOL,Virginia Tech
216,Jake Golday,LB,Cincinnati
217,Brett Norfleet,TE,Missouri
218,Barion Brown,WR,LSU
219,Ty Morris,LB,Rice
220,Peyton Bowen,S,Oklahoma
221,Chase Roberts,WR,BYU
222,Max Llewellyn,EDGE,Iowa
223,Roderick Kearney,OT,Florida
224,Sheridan Wilson,IOL,Texas Tech
225,Keanu Tanuvasa,DL,BYU
226,Cameron Calhoun,CB,Alabama
227,James Smith,DL,Alabama
228,Zeke Berry,S,Michigan
229,Avery Johnson,QB,Kansas State
230,Isaiah Jatta,OT,BYU
231,Vinny Anthony II,WR,Wisconsin
232,Kanye Udoh,RB,Arizona State
233,Chris McClellan,DL,Missouri
234,Datrell Jones,RB,Boston College
235,Treydan Stukes,CB,Arizona
236,Adonijah Green,DL,Louisville
237,Tanner Koziol,TE,Houston
238,Ashton Stamps,CB,LSU
239,Brandon Henderson,IOL,Illinois
240,Michael Harris,LB,Maryland
241,Kerry Brown,S,Minnesota
242,Eli Holstein,QB,Pittsburgh
243,Quinten Joyner,RB,Texas Tech
244,Markis Deal,DL,TCU
245,Elijah Prather,IOL,Troy
246,Tyreek Chappell,CB,Texas A&M
247,Lance Mason,TE,Wisconsin
248,Josh Hoover,QB,TCU
249,Justin Jefferson,LB,Alabama
250,Toby Payne,TE,Marshall
251,Bryson Washington,RB,Baylor
252,Shamar Easter,TE,North Carolina
253,Wade Woodaz,LB,Clemson
254,Justin Joly,TE,NC State
255,Christian Alliegro,LB,Wisconsin
256,Devean Deal,EDGE,TCU
257,Kobe Baynes,IOL,Kansas
258,Josh Moten,CB,Southern Miss
259,Jacarrius Peak,OT,NC State
260,Bear Alexander,DL,Oregon
261,Dametrious Crownover,OT,Texas A&M
262,KP Price,S,Boston College
263,Nicolas Radicic,K,Indiana
264,Matthew Hibner,TE,SMU
265,Declan Duley,P,Central Michigan
266,Luke Altmyer,QB,Illinois
267,Elijah Pritchett,OT,Nebraska
268,Febechi Nwaiwu,IOL,Oklahoma
269,Le'Veon Moss,RB,Texas A&M
270,Ethan Onianwa,OT,Ohio State
271,Duce Robinson,WR,Florida State
272,Josh Thompson,IOL,LSU
273,Fernando Carmona,IOL,Arkansas
274,Caden Barnett,OT,Wyoming
275,J.Michael Sturdivant,WR,Florida
276,Knijeah Harris,IOL,Florida
277,Marvin Jones Jr.,EDGE,Oklahoma
278,Alex Harkey,OT,Oregon
279,Aidan Gousby,S,Minnesota
280,Nate Johnson,EDGE,Missouri
281,Kayden McDonald,DL,Ohio State
282,Kam Shanks,WR,Arkansas
283,P.J. Williams,OT,SMU
284,McKale Boley,IOL,Virginia
285,Jaden Greathouse,WR,Notre Dame
286,Princewill Umanmielen,EDGE,Mississippi
287,Byrum Brown,QB,South Florida
288,Ben Murawski,IOL,UConn
289,Greg Johnson,IOL,Minnesota
290,Hunter Zambrano,IOL,Texas Tech
291,Cole Wisniewski,S,Texas Tech
292,Dane Key,WR,Nebraska
293,Jackie Marshall,DL,Baylor
294,Albert Regis,DL,Texas A&M
295,Braelin Moore,IOL,LSU
296,Dasan McCullough,EDGE,Nebraska
297,BJ Williams,IOL,Pittsburgh
298,J.C. Davis,OT,Illinois
299,Calvin Clements,OT,Kansas
300,DeAndre Moore Jr.,WR,Texas
301,Keylan Rutledge,IOL,Georgia Tech
302,Ben Taylor-Whitfield,OT,TCU
303,Pat Coogan,IOL,Indiana
304,Diego Pounds,OT,Mississippi
305,Izavion Miller,OT,Auburn
306,Jalen Catalon,S,Missouri
307,Dorion Strawn,OT,Texas State
308,Nolan Rucci,OT,Penn State
309,Monroe Freeling,OT,Georgia
310,Thaddeus Dixon,CB,North Carolina
311,Tellek Lockette,IOL,Texas State
312,Bud Clark,S,TCU
313,Eli Raridon,TE,Notre Dame
314,Adon Shuler,S,Notre Dame
315,Malik Spencer,S,Michigan State
