Rank,Player Name,Position,College
1,Garrett Nussmeier,QB,LSU
2,LaNorris Sellers,QB,South Carolina
3,Peter Woods,DL,Clemson
4,Rueben Bain,EDGE,Miami (FL)
5,Caleb Downs,S,Ohio State
6,Francis Mauigoa,OT,Miami (FL)
7,Fernando Mendoza,QB,Indiana
8,Spencer Fano,OT,Utah
9,T.J. Parker,EDGE,Clemson
10,Keldric Faulk,EDGE,Auburn
11,Jordyn Tyson,WR,Arizona State
12,Arch Manning,QB,Texas
13,Jermod McCoy,CB,Tennessee
14,Kadyn Proctor,OT,Alabama
15,Jeremiyah Love,RB,Notre Dame
16,Cade Klubnik,QB,Clemson
17,Drew Allar,QB,Penn State
18,Caleb Lomu,OT,Utah
19,Avieon Terrell,CB,Clemson
20,Anthony Hill Jr.,LB,Texas
21,John Mateer,QB,Oklahoma
22,Dante Moore,QB,Oregon
23,Carnell Tate,WR,Ohio State
24,Kenyon Sadiq,TE,Oregon
25,Sonny Styles,LB,Ohio State
26,Caleb Banks,DL,Florida
27,Isaiah World,OT,Oregon
28,Matayo Uiagalelei,EDGE,Oregon
29,Makai Lemon,WR,USC
30,C.J. Allen,LB,Georgia
31,Dani Dennis-Sutton,EDGE,Penn State
32,L.T. Overton,EDGE,Alabama
33,Mansoor Delane,CB,LSU
34,Denzel Boston,WR,Washington
35,David Bailey,EDGE,Texas Tech
36,A.J. Harris,CB,Penn State
37,Dillon Thieneman,S,Oregon
38,Antonio Williams,WR,Clemson
39,Trevor Goosby,OT,Texas
40,Nyck Harbor,WR,South Carolina
41,Xavier Chaplin,OT,Auburn
42,Connor Lew,IOL,Auburn
43,Kolt Dieterich,OT,Sam Houston State
44,Christen Miller,DL,Georgia
45,Suntarine Perkins,LB,Mississippi
46,DJ McKinney,CB,Colorado
47,Nick Singleton,RB,Penn State
48,Zachariah Branch,WR,Georgia
49,Harold Perkins,LB,LSU
50,Ja'Kobi Lane,WR,USC
51,Jalon Kilgore,S,South Carolina
52,Drew Shelton,OT,Penn State
53,Domani Jackson,CB,Alabama
54,Cashius Howell,EDGE,Texas A&M
55,Kevin Concepcion,WR,Texas A&M
56,Domonique Orange,DL,Iowa State
57,Chris Bell,WR,Louisville
58,Will Lee III,CB,Texas A&M
59,R Mason Thomas,EDGE,Oklahoma
60,Malik Muhammad,CB,Texas
61,Austin Barber,OT,Florida
62,Max Klare,TE,Ohio State
63,Keith Abney II,CB,Arizona State
64,Arvell Reese,LB,Ohio State
65,Kamari Ramsey,S,USC
66,Gennings Dunker,OT,Iowa
67,Carson Beck,QB,Miami (FL)
68,Colton Hood,CB,Tennessee
69,Parker Brailsford,IOL,Alabama
70,Quincy Rhodes Jr.,EDGE,Arkansas
71,Daylen Everette,CB,Georgia
72,Whit Weeks,LB,LSU
73,Jake Slaughter,IOL,Florida
74,Eric Singleton Jr.,WR,Auburn
75,Kayden McDonald,DL,Ohio State
76,Olaivavega Ioane,IOL,Penn State
77,Gabe Jacas,EDGE,Illinois
78,Tyreak Sapp,EDGE,Florida
79,Xavier Scott,S,Illinois
80,Emmanuel Pregnon,IOL,Oregon
81,Aidan Chiles,QB,Michigan State
82,Cayden Green,OT,Missouri
83,Anthony Lucas,EDGE,USC
84,Darrell Jackson Jr.,DL,Florida State
85,Anto Saka,EDGE,Northwestern
86,Fa'alili Fa'amoe,OT,Wake Forest
87,Jack Endries,TE,Texas
88,Keon Sabb,S,Alabama
89,Jonah Coleman,RB,Washington
90,Deontae Lawson,LB,Alabama
91,Justice Haynes,RB,Michigan
92,Zane Durant,DL,Penn State
93,Joshua Josephs,EDGE,Tennessee
94,Chandler Rivers,CB,Duke
95,Chase Bisontis,IOL,Texas A&M
96,Amare Ferrell,S,Indiana
97,Germie Bernard,WR,Alabama
98,Jaishawn Barham,LB,Michigan
99,Duce Robinson,WR,Florida State
100,Iapani Laloulu,IOL,Oregon
101,Oscar Delp,TE,Georgia
102,Davison Igbinosun,CB,Ohio State
103,Deion Burks,WR,Oklahoma
104,Malachi Fields,WR,Notre Dame
105,Genesis Smith,S,Arizona
106,Dontay Corleone,DL,Cincinnati
107,Kade Pieper,IOL,Iowa
108,Josh Hoover,QB,TCU
109,Jermaine Mathews Jr.,CB,Ohio State
110,Aaron Graves,DL,Iowa
111,Kaytron Allen,RB,Penn State
112,Elijah Pritchett,OT,Nebraska
113,Daniel Harris,CB,Georgia
114,DeMonte Capehart,DL,Clemson
115,Nic Anderson,WR,LSU
116,Zion Young,EDGE,Missouri
117,Antonio Kite,CB,Mississippi
118,Tacario Davis,CB,Washington
119,Michael Taaffe,S,Texas
120,Jaeden Roberts,IOL,Alabama
121,Quintrevion Wisner,RB,Texas
122,Mateen Ibirogba,DL,Wake Forest
123,Sam Leavitt,QB,Arizona State
124,Le'Veon Moss,RB,Texas A&M
125,C.J. Baxter,RB,Texas
126,Chris Brazzell,WR,Tennessee
127,Lawson Luckie,TE,Georgia
128,Tristan Leigh,OT,Clemson
129,Caleb Tiernan,OT,Northwestern
130,Eli Stowers,TE,Vanderbilt
131,Ar'maj Reed-Adams,IOL,Texas A&M
132,Lander Barton,LB,Utah
133,Josh Cameron,WR,Baylor
134,Jyaire Hill,CB,Michigan
135,Elijah Sarratt,WR,Indiana
136,Christian Gray,CB,Notre Dame
137,Jude Bowry,OT,Boston College
138,Bryce Lance,WR,North Dakota State
139,Taurean York,LB,Texas A&M
140,Lance Heard,OT,Tennessee
141,Keylan Rutledge,IOL,Georgia Tech
142,Noah Thomas,WR,Georgia
143,Akheem Mesidor,EDGE,Miami (FL)
144,Marlin Klein,TE,Michigan
145,Dalton Brooks,S,Texas A&M
146,Anthony Smith,DL,Minnesota
147,Blake Miller,OT,Clemson
148,Emmanuel McNeil-Warren,S,Toledo
149,Trey Zuhn III,OT,Texas A&M
150,Darian Mensah,QB,Duke
151,Max Iheanachor,OT,Arizona State
152,D'angelo Ponds,CB,Indiana
153,Tim Keenan III,DL,Alabama
154,LJ Martin,RB,BYU
155,Nico Iamaleava,QB,UCLA
156,Gracen Halton,DL,Oklahoma
157,Aamil Wagner,OT,Notre Dame
158,Bryce Foster,IOL,Kansas
159,Patrick Payton,EDGE,LSU
160,Zakee Wheatley,S,Penn State
161,Earl Little Jr.,S,Florida State
162,Judge Collier,CB,South Carolina
163,Vincent Anthony Jr.,EDGE,Duke
164,Rayshaun Benny,DL,Michigan
165,Tao Johnson,S,Utah
166,Jamarion Miller,RB,Alabama
167,Makhi Hughes,RB,Oregon
168,Trey Moore,EDGE,Texas
169,Jaydn Ott,RB,Oklahoma
170,Mikail Kamara,EDGE,Indiana
171,Aaron Anderson,WR,LSU
172,Derrick Moore,EDGE,Michigan
173,Darius Taylor,RB,Minnesota
174,Febechi Nwaiwu,IOL,Oklahoma
175,Logan Jones,IOL,Iowa
176,D.J. Campbell,IOL,Texas
177,Kenyatta Jackson,EDGE,Ohio State
178,Chase Roberts,WR,BYU
179,A.J. Haulcy,S,LSU
180,Sawyer Robertson,QB,Baylor
181,Riley Mahlman,OT,Wisconsin
182,Drew Azzopardi,OT,Washington
183,Kyle Louis,LB,Pittsburgh
184,Joe Royer,TE,Cincinnati
185,Boubacar Traore,DL,Notre Dame
186,Hezekiah Masses,CB,California
187,Raylen Wilson,LB,Georgia
188,Xavier Nwankpa,S,Iowa
189,C.J. Daniels,WR,Miami (FL)
190,Jack Velling,TE,Michigan State
191,Charles Jagusah,IOL,Notre Dame
192,Kage Casey,OT,Boise State
193,Eric Rivers,WR,Georgia Tech
194,Robert Henry Jr.,RB,UTSA
195,Eugene Wilson III,WR,Florida
196,Rod Moore,S,Michigan
197,Austin Romaine,LB,Kansas State
198,Max Llewellyn,EDGE,Iowa
199,Roman Hemby,RB,Indiana
200,Amare Campbell,LB,Penn State
201,John Michael Gyllenborg,TE,Wyoming
202,Zxavian Harris,DL,Mississippi
203,Brett Norfleet,TE,Missouri
204,Drayk Bowen,LB,Notre Dame
205,Kanye Udoh,RB,Arizona State
206,Jaheim Oatis,DL,Colorado
207,Miller Moss,QB,Louisville
208,Ryan Baer,IOL,Pittsburgh
209,Keanu Tanuvasa,DL,BYU
210,Bud Clark,S,TCU
211,Barion Brown,WR,LSU
212,Jadarian Price,RB,Notre Dame
213,Matthew Bailey,S,Illinois
214,Bryson Washington,RB,Baylor
215,Aiden Fisher,LB,Indiana
216,Brett Thorson,P,Georgia
217,Demond Claiborne,RB,Wake Forest
218,Noah Josey,IOL,Virginia
219,Jalen Walthall,WR,Incarnate Word
220,Theo Melin Ohrstrom,TE,Texas A&M
221,Jake Golday,LB,Cincinnati
222,Benji Gosnell,TE,Virginia Tech
223,Trebor Pena,WR,Penn State
224,Omar Aigbedion,IOL,Baylor
225,Eli Holstein,QB,Pittsburgh
226,James Smith,DL,Alabama
227,Michael Harris,LB,Maryland
228,Datrell Jones,RB,Boston College
229,Tanner Arkin,TE,Illinois
230,Zeke Berry,S,Michigan
231,Tomas Rimac,IOL,Virginia Tech
232,Adonijah Green,DL,Louisville
233,Davaughn Patterson,S,Wake Forest
234,Chris McClellan,DL,Missouri
235,Bray Hubbard,S,Alabama
236,Cameron Calhoun,CB,Alabama
237,Kelby Collins,DL,Alabama
238,Caleb Douglas,WR,Texas Tech
239,Isaiah Nwokobia,S,SMU
240,Marvin Jones Jr.,EDGE,Oklahoma
241,Roy Williams,EDGE,Northern Illinois
242,Martel Hight,CB,Vanderbilt
243,Roderick Kearney,OT,Florida
244,Alexander Doost,IOL,Arizona
245,Caden Barnett,OT,Wyoming
246,Fernando Carmona,IOL,Arkansas
247,Cole Wisniewski,S,Texas Tech
248,Jeremiah Wright,IOL,Auburn
249,Michael Trigg,TE,Baylor
250,Max Tomzcak,WR,Youngstown State
251,Avery Johnson,QB,Kansas State
252,Ty Morris,LB,Rice
253,Jackson Arnold,QB,Auburn
254,Keenan Nelson Jr.,S,Ohio State
255,R.J. Maryland,TE,SMU
256,Kerry Brown,S,Minnesota
257,Tanner Koziol,TE,Houston
258,Tyreek Chappell,CB,Texas A&M
259,Jeadyn Lukus,CB,Clemson
260,Markis Deal,DL,TCU
261,Ashton Stamps,CB,LSU
262,Hunter Zambrano,IOL,Texas Tech
263,Wade Woodaz,LB,Clemson
264,Shamar Easter,TE,North Carolina
265,Kadin Lynch,IOL,William & Mary
266,Barika Kpeenu,RB,North Dakota State
267,Dametrious Crownover,OT,Texas A&M
268,Nicolas Radicic,K,Indiana
269,Declan Duley,P,Central Michigan
270,Earnest Greene,OT,Georgia
271,Fisher Camac,EDGE,Virginia
272,Luke Altmyer,QB,Illinois
273,Lee Hunter,DL,Texas Tech
274,Evan Stewart,WR,Oregon
275,Laurence Seymore,IOL,Western Kentucky
276,J.Michael Sturdivant,WR,Florida
277,Damon Wilson Jr.,EDGE,Missouri
278,Beau Pribula,QB,Missouri
279,Eric O'Neill,EDGE,Rutgers
280,Nate Johnson,EDGE,Missouri
281,Josh Thompson,IOL,LSU
282,Knijeah Harris,IOL,Florida
283,Thomas Castellanos,QB,Florida State
284,Dasan McCullough,EDGE,Nebraska
285,Dane Key,WR,Nebraska
286,Jaden Greathouse,WR,Notre Dame
287,P.J. Williams,OT,SMU
288,Ethan Onianwa,OT,Ohio State
289,McKale Boley,IOL,Virginia
290,Braelin Moore,IOL,LSU
291,Greg Johnson,IOL,Minnesota
292,Calvin Clements,OT,Kansas
293,Elijah Prather,IOL,Troy
294,Jackie Marshall,DL,Baylor
295,Ben Murawski,IOL,UConn
296,J.C. Davis,OT,Illinois
297,Jalen Catalon,S,Missouri
298,Izavion Miller,OT,Auburn
299,Diego Pounds,OT,Mississippi
300,BJ Williams,IOL,Pittsburgh
301,Alex Harkey,OT,Oregon
302,Monroe Freeling,OT,Georgia
303,Brandon Henderson,IOL,Illinois
304,Trevyon Green,OT,North Carolina
305,Tellek Lockette,IOL,Texas State
306,Thaddeus Dixon,CB,North Carolina
307,Malik Spencer,S,Michigan State
308,Ben Taylor-Whitfield,OT,TCU
309,KP Price,S,Boston College
310,Princewill Umanmielen,EDGE,Mississippi
311,Carlos Hernandez,WR,Wake Forest
312,Quinten Christensen,IOL,South Dakota State
313,Dorion Strawn,OT,Texas State
