Rank,Player Name,Position,College
1,Garrett Nussmeier,QB,LSU
2,Arch Manning,QB,Texas
3,LaNorris Sellers,QB,South Carolina
4,Cade Klubnik,QB,Clemson
5,Peter Woods,DL,Clemson
6,Caleb Downs,S,Ohio State
7,Drew Allar,QB,Penn State
8,T.J. Parker,EDGE,Clemson
9,Spencer Fano,OT,Utah
10,Kadyn Proctor,OT,Alabama
11,Fernando Mendoza,QB,Indiana
12,Rueben Bain,EDGE,Miami (FL)
13,Jordyn Tyson,WR,Arizona State
14,Keldric Faulk,EDGE,Auburn
15,Francis Mauigoa,OT,Miami (FL)
16,Jermod McCoy,CB,Tennessee
17,Jeremiyah Love,RB,Notre Dame
18,Caleb Lomu,OT,Utah
19,Trevor Goosby,OT,Texas
20,Anthony Hill Jr.,LB,Texas
21,Avieon Terrell,CB,Clemson
22,Matayo Uiagalelei,EDGE,Oregon
23,Isaiah World,OT,Oregon
24,L.T. Overton,EDGE,Alabama
25,Caleb Banks,DL,Florida
26,Dani Dennis-Sutton,EDGE,Penn State
27,Sonny Styles,LB,Ohio State
28,C.J. Allen,LB,Georgia
29,Connor Lew,IOL,Auburn
30,Carnell Tate,WR,Ohio State
31,Dillon Thieneman,S,Oregon
32,Antonio Williams,WR,Clemson
33,Denzel Boston,WR,Washington
34,Kenyon Sadiq,TE,Oregon
35,Malik Muhammad,CB,Texas
36,Mansoor Delane,CB,LSU
37,A.J. Harris,CB,Penn State
38,Christen Miller,DL,Georgia
39,Nick Singleton,RB,Penn State
40,Makai Lemon,WR,USC
41,Xavier Chaplin,OT,Auburn
42,Noah Thomas,WR,Georgia
43,David Bailey,EDGE,Texas Tech
44,Drew Shelton,OT,Penn State
45,Max Klare,TE,Ohio State
46,Sam Leavitt,QB,Arizona State
47,Ja'Kobi Lane,WR,USC
48,Jalon Kilgore,S,South Carolina
49,Gennings Dunker,OT,Iowa
50,Daylen Everette,CB,Georgia
51,John Mateer,QB,Oklahoma
52,Zachariah Branch,WR,Georgia
53,DJ McKinney,CB,Colorado
54,Eric Singleton Jr.,WR,Auburn
55,Will Lee III,CB,Texas A&M
56,Jake Slaughter,IOL,Florida
57,Tyreak Sapp,EDGE,Florida
58,Gabe Jacas,EDGE,Illinois
59,Domani Jackson,CB,Alabama
60,Nyck Harbor,WR,South Carolina
61,Keith Abney II,CB,Arizona State
62,Austin Barber,OT,Florida
63,Chris Bell,WR,Louisville
64,Eli Stowers,TE,Vanderbilt
65,Carson Beck,QB,Miami (FL)
66,Harold Perkins,LB,LSU
67,Deontae Lawson,LB,Alabama
68,Joshua Josephs,EDGE,Tennessee
69,Cashius Howell,EDGE,Texas A&M
70,Max Iheanachor,OT,Arizona State
71,Parker Brailsford,IOL,Alabama
72,Xavier Scott,S,Illinois
73,Kamari Ramsey,S,USC
74,Anto Saka,EDGE,Northwestern
75,Suntarine Perkins,LB,Mississippi
76,Chandler Rivers,CB,Duke
77,Cayden Green,OT,Missouri
78,Emmanuel Pregnon,IOL,Oregon
79,Olaivavega Ioane,IOL,Penn State
80,Darian Mensah,QB,Duke
81,Domonique Orange,DL,Iowa State
82,Germie Bernard,WR,Alabama
83,Nico Iamaleava,QB,UCLA
84,Zane Durant,DL,Penn State
85,Bryce Foster,IOL,Kansas
86,Nic Anderson,WR,LSU
87,Whit Weeks,LB,LSU
88,Zion Young,EDGE,Missouri
89,Kevin Concepcion,WR,Texas A&M
90,Kam Shanks,WR,Arkansas
91,Jude Bowry,OT,Boston College
92,R Mason Thomas,EDGE,Oklahoma
93,Emmanuel McNeil-Warren,S,Toledo
94,C.J. Baxter,RB,Texas
95,Anthony Lucas,EDGE,USC
96,DeMonte Capehart,DL,Clemson
97,Dontay Corleone,DL,Cincinnati
98,Caleb Tiernan,OT,Northwestern
99,Zakee Wheatley,S,Penn State
100,Mikail Kamara,EDGE,Indiana
101,Logan Jones,IOL,Iowa
102,Blake Miller,OT,Clemson
103,Darrell Jackson Jr.,DL,Florida State
104,Kaytron Allen,RB,Penn State
105,Makhi Hughes,RB,Oregon
106,Keon Sabb,S,Alabama
107,D'angelo Ponds,CB,Indiana
108,Aamil Wagner,OT,Notre Dame
109,Elijah Sarratt,WR,Indiana
110,Lawson Luckie,TE,Georgia
111,Michael Taaffe,S,Texas
112,Jack Endries,TE,Texas
113,Tacario Davis,CB,Washington
114,Aidan Gousby,S,Minnesota
115,D.J. Campbell,IOL,Texas
116,Aaron Graves,DL,Iowa
117,Jaishawn Barham,LB,Michigan
118,Gracen Halton,DL,Oklahoma
119,Isaiah Brown-Murray,CB,Virginia Tech
120,Jaydn Ott,RB,Oklahoma
121,Davison Igbinosun,CB,Ohio State
122,Quintrevion Wisner,RB,Texas
123,Patrick Payton,EDGE,LSU
124,Tim Keenan III,DL,Alabama
125,Jaeden Roberts,IOL,Alabama
126,Ar'maj Reed-Adams,IOL,Texas A&M
127,Amare Ferrell,S,Indiana
128,Trey Moore,EDGE,Texas
129,Kage Casey,OT,Boise State
130,Oscar Delp,TE,Georgia
131,Bryce Lance,WR,North Dakota State
132,Tristan Leigh,OT,Clemson
133,Sam Roush,TE,Stanford
134,Christian Gray,CB,Notre Dame
135,Tao Johnson,S,Utah
136,Charles Jagusah,IOL,Notre Dame
137,Chase Bisontis,IOL,Texas A&M
138,Jayden Virgin-Morgan,EDGE,Boise State
139,Rayshaun Benny,DL,Michigan
140,Derrick Moore,EDGE,Michigan
141,Keenan Nelson Jr.,S,Ohio State
142,Aaron Anderson,WR,LSU
143,Damon Wilson Jr.,EDGE,Missouri
144,Deion Burks,WR,Oklahoma
145,Lander Barton,LB,Utah
146,Fa'alili Fa'amoe,OT,Wake Forest
147,Trey Zuhn III,OT,Texas A&M
148,Josh Cameron,WR,Baylor
149,Keanu Tanuvasa,DL,BYU
150,Kobe Baynes,IOL,Kansas
151,Evan Stewart,WR,Oregon
152,Zeke Berry,S,Michigan
153,Drayk Bowen,LB,Notre Dame
154,Quinten Christensen,IOL,South Dakota State
155,Jonah Coleman,RB,Washington
156,Malachi Fields,WR,Notre Dame
