Rank,Player Name,Position,College
1,Garrett Nussmeier,QB,LSU
2,LaNorris Sellers,QB,South Carolina
3,Arch Manning,QB,Texas
4,Cade Klubnik,QB,Clemson
5,Peter Woods,DL,Clemson
6,Caleb Downs,S,Ohio State
7,Fernando Mendoza,QB,Indiana
8,Kadyn Proctor,OT,Alabama
9,Spencer Fano,OT,Utah
10,Rueben Bain,EDGE,Miami (FL)
11,T.J. Parker,EDGE,Clemson
12,Keldric Faulk,EDGE,Auburn
13,Drew Allar,QB,Penn State
14,Jordyn Tyson,WR,Arizona State
15,Francis Mauigoa,OT,Miami (FL)
16,Jermod McCoy,CB,Tennessee
17,Jeremiyah Love,RB,Notre Dame
18,Caleb Lomu,OT,Utah
19,Anthony Hill Jr.,LB,Texas
20,Trevor Goosby,OT,Texas
21,Avieon Terrell,CB,Clemson
22,Caleb Banks,DL,Florida
23,Matayo Uiagalelei,EDGE,Oregon
24,L.T. Overton,EDGE,Alabama
25,C.J. Allen,LB,Georgia
26,Isaiah World,OT,Oregon
27,Antonio Williams,WR,Clemson
28,Carnell Tate,WR,Ohio State
29,Sonny Styles,LB,Ohio State
30,Dillon Thieneman,S,Oregon
31,Connor Lew,IOL,Auburn
32,Dani Dennis-Sutton,EDGE,Penn State
33,Denzel Boston,WR,Washington
34,Kenyon Sadiq,TE,Oregon
35,Christen Miller,DL,Georgia
36,Malik Muhammad,CB,Texas
37,A.J. Harris,CB,Penn State
38,Mansoor Delane,CB,LSU
39,Jalon Kilgore,S,South Carolina
40,Makai Lemon,WR,USC
41,Nick Singleton,RB,Penn State
42,Xavier Chaplin,OT,Auburn
43,Max Klare,TE,Ohio State
44,Drew Shelton,OT,Penn State
45,David Bailey,EDGE,Texas Tech
46,Sam Leavitt,QB,Arizona State
47,Gennings Dunker,OT,Iowa
48,DJ McKinney,CB,Colorado
49,Domani Jackson,CB,Alabama
50,Ja'Kobi Lane,WR,USC
51,Eric Singleton Jr.,WR,Auburn
52,John Mateer,QB,Oklahoma
53,Will Lee III,CB,Texas A&M
54,Nyck Harbor,WR,South Carolina
55,Zachariah Branch,WR,Georgia
56,Gabe Jacas,EDGE,Illinois
57,Keith Abney II,CB,Arizona State
58,Chris Bell,WR,Louisville
59,Austin Barber,OT,Florida
60,Carson Beck,QB,Miami (FL)
61,Jake Slaughter,IOL,Florida
62,Parker Brailsford,IOL,Alabama
63,Tyreak Sapp,EDGE,Florida
64,Deontae Lawson,LB,Alabama
65,Xavier Scott,S,Illinois
66,Joshua Josephs,EDGE,Tennessee
67,Cashius Howell,EDGE,Texas A&M
68,Max Iheanachor,OT,Arizona State
69,Eli Stowers,TE,Vanderbilt
70,Anto Saka,EDGE,Northwestern
71,Harold Perkins,LB,LSU
72,Kamari Ramsey,S,USC
73,Daylen Everette,CB,Georgia
74,Olaivavega Ioane,IOL,Penn State
75,Emmanuel Pregnon,IOL,Oregon
76,Noah Thomas,WR,Georgia
77,Suntarine Perkins,LB,Mississippi
78,Chandler Rivers,CB,Duke
79,Darian Mensah,QB,Duke
80,Germie Bernard,WR,Alabama
81,Domonique Orange,DL,Iowa State
82,Cayden Green,OT,Missouri
83,Zane Durant,DL,Penn State
84,Dante Moore,QB,Oregon
85,Kevin Concepcion,WR,Texas A&M
86,Nico Iamaleava,QB,UCLA
87,Kam Shanks,WR,Arkansas
88,DeMonte Capehart,DL,Clemson
89,Bryce Foster,IOL,Kansas
90,Nic Anderson,WR,LSU
91,Zion Young,EDGE,Missouri
92,Whit Weeks,LB,LSU
93,Dontay Corleone,DL,Cincinnati
94,Kaytron Allen,RB,Penn State
95,Jude Bowry,OT,Boston College
96,R Mason Thomas,EDGE,Oklahoma
97,Emmanuel McNeil-Warren,S,Toledo
98,Keon Sabb,S,Alabama
99,C.J. Baxter,RB,Texas
100,Davison Igbinosun,CB,Ohio State
101,Blake Miller,OT,Clemson
102,Anthony Lucas,EDGE,USC
103,Tacario Davis,CB,Washington
104,Zakee Wheatley,S,Penn State
105,Caleb Tiernan,OT,Northwestern
106,Michael Taaffe,S,Texas
107,Logan Jones,IOL,Iowa
108,Quintrevion Wisner,RB,Texas
109,Jack Endries,TE,Texas
110,Darrell Jackson Jr.,DL,Florida State
111,Jaishawn Barham,LB,Michigan
112,Mikail Kamara,EDGE,Indiana
113,Aidan Gousby,S,Minnesota
114,D.J. Campbell,IOL,Texas
115,Gracen Halton,DL,Oklahoma
116,Tristan Leigh,OT,Clemson
117,Amare Ferrell,S,Indiana
118,Lawson Luckie,TE,Georgia
119,Aamil Wagner,OT,Notre Dame
120,Makhi Hughes,RB,Oregon
121,D'angelo Ponds,CB,Indiana
122,Sawyer Robertson,QB,Baylor
123,Jonah Coleman,RB,Washington
124,Aaron Graves,DL,Iowa
125,Jaeden Roberts,IOL,Alabama
126,Lander Barton,LB,Utah
127,Elijah Sarratt,WR,Indiana
128,Chase Bisontis,IOL,Texas A&M
129,Jayden Virgin-Morgan,EDGE,Boise State
130,Fa'alili Fa'amoe,OT,Wake Forest
131,Trey Zuhn III,OT,Texas A&M
132,Jamarion Miller,RB,Alabama
133,Keenan Nelson Jr.,S,Ohio State
134,Jaydn Ott,RB,Oklahoma
135,Josh Cameron,WR,Baylor
136,Tim Keenan III,DL,Alabama
137,Kobe Baynes,IOL,Kansas
138,Ar'maj Reed-Adams,IOL,Texas A&M
139,Darius Taylor,RB,Minnesota
140,Justice Haynes,RB,Michigan
141,Quinten Christensen,IOL,South Dakota State
142,Judge Collier,CB,South Carolina
143,Kage Casey,OT,Boise State
144,Dalton Brooks,S,Texas A&M
145,Oscar Delp,TE,Georgia
146,Bryce Lance,WR,North Dakota State
147,Patrick Payton,EDGE,LSU
148,Trey Moore,EDGE,Texas
149,Tao Johnson,S,Utah
150,Christian Gray,CB,Notre Dame
151,Jack Velling,TE,Michigan State
152,Rayshaun Benny,DL,Michigan
153,Roman Hemby,RB,Indiana
154,Teague Andersen,IOL,NC State
155,Evan Stewart,WR,Oregon
156,Derrick Moore,EDGE,Michigan
157,Aaron Anderson,WR,LSU
158,Damon Wilson Jr.,EDGE,Missouri
159,Deion Burks,WR,Oklahoma
160,Charles Jagusah,IOL,Notre Dame
161,Jadarian Price,RB,Notre Dame
162,Jameson Geers,TE,Minnesota
163,LJ Martin,RB,BYU
164,Drayk Bowen,LB,Notre Dame
165,Malachi Fields,WR,Notre Dame
166,Fisher Camac,EDGE,Virginia
167,Aidan Chiles,QB,Michigan State
168,Eugene Wilson III,WR,Florida
169,Jaden Keller,LB,Virginia Tech
170,DeAndre Moore Jr.,WR,Texas
171,Kade Pieper,IOL,Iowa
172,Trebor Pena,WR,Penn State
173,Jyaire Hill,CB,Michigan
174,Eric Rivers,WR,Georgia Tech
175,Boubacar Traore,DL,Notre Dame
176,Duce Robinson,WR,Florida State
177,Kelby Collins,DL,Alabama
178,Knijeah Harris,IOL,Florida
179,Zeke Berry,S,Michigan
180,Dariel Djabome,LB,Rutgers
181,Alex Harkey,OT,Oregon
182,Josh Thompson,IOL,LSU
183,Dametrious Crownover,OT,Texas A&M
184,Princewill Umanmielen,EDGE,Mississippi
185,Iapani Laloulu,IOL,Oregon
186,Caleb Woodson,LB,Virginia Tech
187,Griffin Wilde,WR,Northwestern
188,Roderick Kearney,OT,Florida
189,Ryan Baer,IOL,Pittsburgh
190,Joe Royer,TE,Cincinnati
191,Marlin Klein,TE,Michigan
192,Martel Hight,CB,Vanderbilt
193,Anthony Smith,DL,Minnesota
194,Keanu Tanuvasa,DL,BYU
195,J.Michael Sturdivant,WR,Florida
196,DJ Harvey,CB,USC
197,Jacarrius Peak,OT,NC State
198,Raylen Wilson,LB,Georgia
199,Jaheim Oatis,DL,Colorado
200,Xavier Nwankpa,S,Iowa
201,Max Llewellyn,EDGE,Iowa
202,Marvin Jones Jr.,EDGE,Oklahoma
203,Fernando Carmona,IOL,Arkansas
204,P.J. Williams,OT,SMU
205,Maurice Westmoreland,EDGE,Tulane
206,James Smith,DL,Alabama
207,McKale Boley,IOL,Virginia
208,Amare Campbell,LB,Penn State
209,Jaden Greathouse,WR,Notre Dame
210,Ben Murawski,IOL,UConn
211,Brett Norfleet,TE,Missouri
212,Collin Wright,CB,Stanford
213,Nolan Rucci,OT,Penn State
214,Riley Mahlman,OT,Wisconsin
215,Kyle Louis,LB,Pittsburgh
216,Greg Johnson,IOL,Minnesota
217,Dane Key,WR,Nebraska
218,Earnest Greene,OT,Georgia
219,Isaiah Brown-Murray,CB,Virginia Tech
220,Benji Gosnell,TE,Virginia Tech
221,Braelin Moore,IOL,LSU
222,Markis Deal,DL,TCU
223,Alexander Doost,IOL,Arizona
224,Kenyatta Jackson,EDGE,Ohio State
225,Taurean York,LB,Texas A&M
226,Kayden McDonald,DL,Ohio State
227,Justin Joly,TE,NC State
228,Demond Claiborne,RB,Wake Forest
229,Ashton Stamps,CB,LSU
230,Logan Parr,IOL,SMU
231,Caleb Douglas,WR,Texas Tech
232,R.J. Maryland,TE,SMU
233,John Michael Gyllenborg,TE,Wyoming
234,Skyler Bell,WR,UConn
235,Sam Roush,TE,Stanford
236,Avery Johnson,QB,Kansas State
237,Cruce Brookins,S,Pittsburgh
238,Kerry Brown,S,Minnesota
239,Ryan Mosesso,OT,UMass
240,Le'Veon Moss,RB,Texas A&M
241,Jacob Thomas,S,James Madison
242,Jontez Williams,CB,Iowa State
243,Jimarion McCrimon,OT,East Carolina
244,Qua Russaw,EDGE,Alabama
245,BJ Williams,IOL,Pittsburgh
246,Jermaine Mathews Jr.,CB,Ohio State
247,Miller Moss,QB,Louisville
248,Jaden Craig,QB,Harvard
249,Laurence Seymore,IOL,Western Kentucky
250,Adon Shuler,S,Notre Dame
251,Treydan Stukes,CB,Arizona
252,Giovanni El-Hadi,IOL,Michigan
253,Cameron Calhoun,CB,Alabama
254,Jake Golday,LB,Cincinnati
255,Tanner Koziol,TE,Houston
256,Quinten Joyner,RB,Texas Tech
257,Keylan Rutledge,IOL,Georgia Tech
258,Isaiah Nwokobia,S,SMU
259,Toby Payne,TE,Marshall
260,Caden Curry,EDGE,Ohio State
261,Desmeal Leigh,OT,Youngstown State
262,Kaleb Jackson,RB,LSU
263,Justin Jefferson,LB,Alabama
264,Dean Miller,EDGE,Kansas
265,Stanquan Clark,LB,Louisville
266,Gabe Burkle,TE,Iowa State
267,Anthony Donkoh,OT,Penn State
268,Josh Hoover,QB,TCU
269,Ben Taylor-Whitfield,OT,TCU
270,Drew Azzopardi,OT,Washington
271,Ethan Onianwa,OT,Ohio State
272,Malik Spencer,S,Michigan State
273,Nate Johnson,EDGE,Missouri
274,Albert Regis,DL,Texas A&M
275,Austin Romaine,LB,Kansas State
276,Christian Alliegro,LB,Wisconsin
277,Adonijah Green,DL,Louisville
278,Bryson Washington,RB,Baylor
279,Rene Konga,DL,Louisville
280,J.C. Davis,OT,Illinois
281,Dorion Strawn,OT,Texas State
282,Clev Lubin,EDGE,Louisville
283,Zxavian Harris,DL,Mississippi
284,Emmanuel Poku,IOL,East Carolina
285,Cole Wisniewski,S,Texas Tech
286,Datrell Jones,RB,Boston College
287,Calvin Clements,OT,Kansas
288,Liam Becher,IOL,North Dakota
289,Michael Harris,LB,Maryland
290,Benjamin Brahmer,TE,Iowa State
291,Eli Raridon,TE,Notre Dame
292,Matthew Hibner,TE,SMU
293,Kanye Udoh,RB,Arizona State
294,Teitum Tuioti,EDGE,Oregon
295,Raion Strader,CB,Auburn
296,Noah Josey,IOL,Virginia
297,Dasan McCullough,EDGE,Nebraska
298,Eli Holstein,QB,Pittsburgh
299,Billy Schrauth,IOL,Notre Dame
300,Wade Woodaz,LB,Clemson
301,Deven Eastern,DL,Minnesota
302,Wes King,IOL,Wyoming
303,Trevyon Green,OT,North Carolina
304,Terion Stewart,RB,Virginia Tech
305,Rod Moore,S,Michigan
306,Bray Hubbard,S,Alabama
307,Elijah Pritchett,OT,Nebraska
308,Connor Tollison,IOL,Missouri
309,Diego Pounds,OT,Mississippi
310,Caden Barnett,OT,Wyoming
311,Dillon Bell,WR,Georgia
312,Bryan Thomas Jr.,EDGE,South Carolina
313,Brian Parker II,OT,Duke
314,Jackie Marshall,DL,Baylor
