School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
SMU,ACC,6,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/smu.svg
Michigan State,Big Ten,6,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan_st.svg
Duke,ACC,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/duke.svg
Boise State,FBS - Mountain West,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/boise_st.svg
Pitt,ACC,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/pittsburgh.svg
Georgia Southern,FBS - Sun Belt,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia_southern.svg
Illinois,Big Ten,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/illinois.svg
UTSA,FBS - AAC,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utsa.svg
South Florida,FBS - AAC,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_florida.svg
Oregon State,Pac 12,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon_st.svg
Auburn,SEC,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/auburn.svg
Colorado State,FBS - Mountain West,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/colorado_st.svg
Georgia Tech,ACC,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia_tech.svg
San Jose State,FBS - Mountain West,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/san_jose_st.svg
Akron,FBS - MAC,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/akron.svg
Syracuse,ACC,4,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/syracuse.svg
UCF,Big 12,3,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ucf.svg
Bowling Green,FBS - MAC,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/bowling_green.svg
Purdue,Big Ten,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/purdue.svg
Louisiana-Monroe,FBS - Sun Belt,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/louisiana_monroe.svg
Nebraska,Big Ten,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/nebraska.svg
South Alabama,FBS - Sun Belt,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_alabama.svg
Rutgers,Big Ten,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/rutgers.svg
Holy Cross,FCS,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/holy_cross.svg
Wake Forest,ACC,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/wake_forest.svg
Yale,FCS,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/yale.svg
Indiana,Big Ten,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/indiana.svg
Minnesota,Big Ten,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/minnesota.svg
Utah State,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utah_st.svg
UNLV,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/unlv.svg
