School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Ohio State,Big Ten,269,32,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg
Georgia,SEC,223,27,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg
Michigan,Big Ten,185,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg
LSU,SEC,160,22,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg
Texas,Big 12,135,24,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas.svg
Texas A&M,SEC,132,29,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_a&amp;m.svg
Ole Miss,SEC,131,21,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi.svg
Oregon,Pac 12,130,22,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg
Alabama,SEC,129,25,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg
Penn State,Big Ten,123,17,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg
Notre Dame,FBS - Independent,120,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg
Arizona,Pac 12,102,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arizona.svg
Colorado,Pac 12,95,15,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/colorado.svg
Kentucky,SEC,94,18,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kentucky.svg
Oklahoma,Big 12,93,24,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma.svg
Iowa,Big Ten,92,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa.svg
Clemson,ACC,90,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg
Tennessee,SEC,63,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tennessee.svg
Florida State,ACC,57,22,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_st.svg
North Carolina,ACC,57,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_carolina.svg
Arkansas,SEC,52,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arkansas.svg
Missouri,SEC,52,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/missouri.svg
Miami (FL),ACC,49,15,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/miami.svg
Louisville,ACC,49,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/louisville.svg
USC,Pac 12,44,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg
South Carolina,SEC,39,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_carolina.svg
Wisconsin,Big Ten,39,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/wisconsin.svg
Florida,SEC,34,17,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida.svg
Oklahoma State,Big 12,33,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma_st.svg
West Virginia,Big 12,28,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/west_virginia.svg
Colorado State,FBS - Mountain West,26,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/colorado_st.svg
Kansas,Big 12,25,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kansas.svg
Stanford,Pac 12,25,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/stanford.svg
NC State,ACC,24,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/nc_st.svg
Virginia Tech,ACC,21,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/virginia_tech.svg
Boise State,FBS - Mountain West,21,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/boise_st.svg
Utah,Pac 12,19,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utah.svg
Auburn,SEC,19,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/auburn.svg
Cincinnati,FBS - AAC,19,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/cincinnati.svg
Minnesota,Big Ten,18,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/minnesota.svg
TCU,Big 12,16,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tcu.svg
California,Pac 12,16,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/california.svg
Texas Tech,Big 12,16,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_tech.svg
Oregon State,Pac 12,16,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon_st.svg
BYU,FBS - Independent,15,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/byu.svg
Michigan State,Big Ten,14,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan_st.svg
Nebraska,Big Ten,13,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/nebraska.svg
SMU,FBS - AAC,13,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/smu.svg
Arizona State,Pac 12,13,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arizona_st.svg
UCLA,Pac 12,13,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ucla.svg
Maryland,Big Ten,13,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/maryland.svg
