School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Ohio State,Big Ten,234,25,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg
Texas,SEC,214,28,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas.svg
Georgia,SEC,178,22,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg
Michigan,Big Ten,169,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg
Ole Miss,SEC,147,19,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi.svg
Oregon,Big Ten,142,25,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg
LSU,SEC,118,17,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg
Alabama,SEC,107,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg
Penn State,Big Ten,105,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg
Notre Dame,FBS - Independent,93,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg
Texas A&M,SEC,87,15,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_a&amp;m.svg
Miami (FL),ACC,86,15,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/miami.svg
Colorado,Big 12,85,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/colorado.svg
South Carolina,SEC,78,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_carolina.svg
Tennessee,SEC,73,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tennessee.svg
Missouri,SEC,66,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/missouri.svg
Iowa,Big Ten,64,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa.svg
Kentucky,SEC,57,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kentucky.svg
Arizona,Big 12,57,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arizona.svg
Clemson,ACC,52,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg
Oklahoma,SEC,46,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma.svg
Virginia Tech,ACC,40,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/virginia_tech.svg
Minnesota,Big Ten,40,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/minnesota.svg
Boise State,FBS - Mountain West,39,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/boise_st.svg
Iowa State,Big 12,38,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa_st.svg
North Carolina,ACC,37,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_carolina.svg
West Virginia,Big 12,36,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/west_virginia.svg
Louisville,ACC,36,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/louisville.svg
Florida State,ACC,35,19,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_st.svg
Florida,SEC,35,18,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida.svg
Kansas,Big 12,33,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kansas.svg
Boston College,ACC,33,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/boston_college.svg
Arkansas,SEC,31,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arkansas.svg
East Carolina,FBS - AAC,31,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/east_carolina.svg
Maryland,Big Ten,29,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/maryland.svg
USC,Big Ten,28,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg
Syracuse,ACC,27,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/syracuse.svg
TCU,Big 12,27,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tcu.svg
Stanford,ACC,27,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/stanford.svg
Marshall,FBS - CUSA,27,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/marshall.svg
UCF,Big 12,24,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ucf.svg
Illinois,Big Ten,24,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/illinois.svg
Nebraska,Big Ten,23,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/nebraska.svg
Bowling Green,FBS - MAC,23,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/bowling_green.svg
Utah,Big 12,22,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utah.svg
Oklahoma State,Big 12,22,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma_st.svg
Wisconsin,Big Ten,22,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/wisconsin.svg
Arizona State,Big 12,21,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arizona_st.svg
Rutgers,Big Ten,20,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/rutgers.svg
Purdue,Big Ten,19,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/purdue.svg
NC State,ACC,17,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/nc_st.svg
UCLA,Big Ten,17,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ucla.svg
