School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Ohio State,Big Ten,281,32,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg
Georgia,SEC,226,27,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg
Michigan,Big Ten,180,15,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg
LSU,SEC,149,22,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg
Texas,SEC,142,24,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas.svg
Alabama,SEC,140,26,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg
Texas A&M,SEC,132,29,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_a&amp;m.svg
Ole Miss,SEC,125,21,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi.svg
Penn State,Big Ten,123,17,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg
Notre Dame,FBS - Independent,116,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg
Oregon,Big Ten,114,22,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg
Colorado,Big 12,96,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/colorado.svg
Arizona,Big 12,96,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arizona.svg
Clemson,ACC,95,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg
Kentucky,SEC,89,18,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kentucky.svg
Iowa,Big Ten,87,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa.svg
Oklahoma,SEC,84,24,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma.svg
Tennessee,SEC,63,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tennessee.svg
Miami (FL),ACC,58,15,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/miami.svg
Florida State,ACC,57,22,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_st.svg
North Carolina,ACC,53,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_carolina.svg
Louisville,ACC,49,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/louisville.svg
Missouri,SEC,46,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/missouri.svg
Arkansas,SEC,45,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arkansas.svg
USC,Big Ten,44,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg
Wisconsin,Big Ten,39,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/wisconsin.svg
Oklahoma State,Big 12,38,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma_st.svg
Kansas,Big 12,38,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kansas.svg
South Carolina,SEC,37,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_carolina.svg
Florida,SEC,35,17,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida.svg
West Virginia,Big 12,29,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/west_virginia.svg
Minnesota,Big Ten,29,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/minnesota.svg
Oregon State,Pac 12,28,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon_st.svg
