School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Ohio State,Big Ten,248,30,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg
Georgia,SEC,215,27,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg
Michigan,Big Ten,181,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg
Texas,SEC,180,34,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas.svg
Alabama,SEC,139,25,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg
LSU,SEC,133,22,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg
Oregon,Big Ten,123,24,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg
Ole Miss,SEC,121,20,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi.svg
Penn State,Big Ten,120,17,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg
Texas A&M,SEC,95,27,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_a&amp;m.svg
Colorado,Big 12,95,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/colorado.svg
Arizona,Big 12,92,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arizona.svg
Kentucky,SEC,87,19,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kentucky.svg
Oklahoma,SEC,84,24,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma.svg
Notre Dame,FBS - Independent,82,17,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg
Clemson,ACC,79,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg
South Carolina,SEC,70,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_carolina.svg
Florida State,ACC,69,27,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_st.svg
Miami (FL),ACC,66,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/miami.svg
Virginia Tech,ACC,62,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/virginia_tech.svg
Iowa,Big Ten,56,15,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa.svg
Missouri,SEC,54,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/missouri.svg
Tennessee,SEC,53,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tennessee.svg
Louisville,ACC,47,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/louisville.svg
Minnesota,Big Ten,46,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/minnesota.svg
North Carolina,ACC,45,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_carolina.svg
Florida,SEC,43,19,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida.svg
USC,Big Ten,38,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg
