School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Georgia,SEC,252,27,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg
Ohio State,Big Ten,248,30,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg
Michigan,Big Ten,177,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg
Texas,SEC,149,23,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas.svg
LSU,SEC,131,22,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg
Alabama,SEC,125,24,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg
Penn State,Big Ten,118,17,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg
Ole Miss,SEC,115,20,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi.svg
Texas A&M,SEC,106,26,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_a&amp;m.svg
Oregon,Big Ten,106,20,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg
Oklahoma,SEC,102,24,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma.svg
Notre Dame,FBS - Independent,95,17,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg
Arizona,Big 12,93,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arizona.svg
Clemson,ACC,90,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg
Kentucky,SEC,87,19,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kentucky.svg
Colorado,Big 12,87,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/colorado.svg
Iowa,Big Ten,68,15,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa.svg
Missouri,SEC,67,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/missouri.svg
Florida State,ACC,65,25,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_st.svg
South Carolina,SEC,63,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_carolina.svg
Virginia Tech,ACC,62,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/virginia_tech.svg
Miami (FL),ACC,60,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/miami.svg
Tennessee,SEC,58,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tennessee.svg
North Carolina,ACC,46,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_carolina.svg
USC,Big Ten,43,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg
Arkansas,SEC,43,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arkansas.svg
Louisville,ACC,38,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/louisville.svg
Oklahoma State,Big 12,38,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma_st.svg
Minnesota,Big Ten,38,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/minnesota.svg
Florida,SEC,37,17,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida.svg
Utah,Big 12,34,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utah.svg
Boise State,FBS - Mountain West,33,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/boise_st.svg
Kansas,Big 12,32,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kansas.svg
West Virginia,Big 12,30,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/west_virginia.svg
Wisconsin,Big Ten,28,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/wisconsin.svg
California,ACC,24,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/california.svg
UCF,Big 12,23,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ucf.svg
Iowa State,Big 12,23,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa_st.svg
East Carolina,FBS - AAC,23,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/east_carolina.svg
Stanford,ACC,23,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/stanford.svg
Nebraska,Big Ten,22,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/nebraska.svg
Colorado State,FBS - Mountain West,21,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/colorado_st.svg
NC State,ACC,20,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/nc_st.svg
Cincinnati,Big 12,20,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/cincinnati.svg
Rutgers,Big Ten,19,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/rutgers.svg
Maryland,Big Ten,18,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/maryland.svg
SMU,ACC,16,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/smu.svg
