School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Georgia,SEC,240,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg
Alabama,SEC,146,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg
Cincinnati,FBS - AAC,119,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/cincinnati.svg
Michigan,Big Ten,112,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg
Ohio State,Big Ten,110,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg
Penn State,Big Ten,99,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg
Texas A&M,SEC,94,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_a&amp;m.svg
Oklahoma,Big 12,79,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma.svg
LSU,SEC,78,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg
Washington,Pac 12,62,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/washington.svg
Ole Miss,SEC,59,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi.svg
USC,Pac 12,59,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg
Notre Dame,FBS - Independent,58,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg
Kentucky,SEC,57,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kentucky.svg
Oregon,Pac 12,54,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg
Baylor,Big 12,53,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/baylor.svg
Mississippi State,SEC,51,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi_st.svg
Clemson,ACC,50,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg
Purdue,Big Ten,48,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/purdue.svg
Minnesota,Big Ten,46,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/minnesota.svg
Florida,SEC,46,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida.svg
Arkansas,SEC,46,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arkansas.svg
Iowa State,Big 12,44,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa_st.svg
NC State,ACC,44,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/nc_st.svg
Iowa,Big Ten,43,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa.svg
Pitt,ACC,40,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/pittsburgh.svg
UCLA,Pac 12,39,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ucla.svg
Utah,Pac 12,39,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utah.svg
Wisconsin,Big Ten,38,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/wisconsin.svg
