School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Georgia,SEC,238,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg
Alabama,SEC,159,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg
Ohio State,Big Ten,118,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg
Michigan,Big Ten,117,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg
Texas A&M,SEC,115,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_a&amp;m.svg
Cincinnati,FBS - AAC,115,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/cincinnati.svg
Penn State,Big Ten,98,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg
LSU,SEC,78,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg
Oklahoma,Big 12,68,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma.svg
USC,Pac 12,67,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg
Kentucky,SEC,65,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kentucky.svg
Washington,Pac 12,64,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/washington.svg
Notre Dame,FBS - Independent,59,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg
Ole Miss,SEC,58,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi.svg
Oregon,Pac 12,56,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg
Clemson,ACC,53,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg
Minnesota,Big Ten,53,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/minnesota.svg
Purdue,Big Ten,51,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/purdue.svg
Iowa State,Big 12,48,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa_st.svg
Florida,SEC,48,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida.svg
Mississippi State,SEC,48,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi_st.svg
