School,Conference,ProjectedPoints,NumberOfProspects
Alabama,SEC,207,21
Georgia,SEC,189,17
Ohio State,Big Ten,180,16
Texas A&M,SEC,140,12
Oklahoma,Big 12,129,19
Clemson,ACC,106,17
Washington,Pac 12,98,7
Cincinnati,FBS - AAC,90,7
Notre Dame,FBS - Independent,80,11
Oregon,Pac 12,79,9
Penn State,Big Ten,77,11
USC,Pac 12,75,10
Arkansas,SEC,72,8
Michigan,Big Ten,72,7
Auburn,SEC,68,11
Florida,SEC,68,9
Ole Miss,SEC,66,10
LSU,SEC,62,10
Purdue,Big Ten,60,3
Iowa State,Big 12,54,9
Iowa,Big Ten,54,5
Nevada,FBS - Mountain West,53,5
Kentucky,SEC,51,8
South Carolina,SEC,51,7
NC State,ACC,50,6
Miami (FL),ACC,45,12
UCLA,Pac 12,45,9
Texas,Big 12,38,8
Arizona State,Pac 12,38,8
Boston College,ACC,37,6
Minnesota,Big Ten,36,6
TCU,Big 12,35,6
Mississippi State,SEC,33,3
Liberty,FCS,31,2
North Carolina,ACC,31,2
Northwestern,Big Ten,31,2
Coastal Carolina,FCS,30,7
Virginia Tech,ACC,27,8
Wisconsin,Big Ten,27,6
Indiana,Big Ten,25,7
Utah,Pac 12,24,4
Northern Iowa,FCS,20,1
Stanford,Pac 12,16,4
West Virginia,Big 12,16,3
Missouri,SEC,15,6
Tennessee,SEC,14,4
Memphis,FBS - AAC,14,4
Washington State,Pac 12,14,3
Baylor,Big 12,13,5
Oklahoma State,Big 12,12,4
Texas Tech,Big 12,12,2
SMU,FBS - AAC,12,2
Florida State,ACC,11,4
Rutgers,Big Ten,11,4
Fresno State,FBS - Mountain West,11,2
Virginia,ACC,10,3
South Alabama,FBS - Sun Belt,10,1
Colorado State,FBS - Mountain West,10,1
Boise State,FBS - Mountain West,10,1
BYU,FBS - Independent,9,3
Syracuse,ACC,9,2
Michigan State,Big Ten,8,4
UTSA,FBS - CUSA,8,3
San Jose State,FBS - Mountain West,8,3
UConn,FBS - AAC,8,1
UCF,FBS - AAC,7,3
Central Michigan,FBS - MAC,7,3
Maryland,Big Ten,7,3
California,Pac 12,7,3
Duke,ACC,7,2
Tulsa,FBS - AAC,7,2
Nebraska,Big Ten,7,2
Illinois,Big Ten,6,2
East Carolina,FBS - AAC,6,1
Louisiana-Lafayette,FBS - Sun Belt,6,1
Tulane,FBS - AAC,6,1
Appalachian State,FBS - Sun Belt,5,4
UAB,FBS - CUSA,5,1
Houston,FBS - AAC,5,1
Southern Utah,FCS,5,1
Pitt,ACC,4,4
Louisville,ACC,3,3
Buffalo,FBS - MAC,3,3
Western Kentucky,FBS - CUSA,3,2
North Texas,FBS - CUSA,3,2
Oregon State,Pac 12,3,2
Troy,FBS - Sun Belt,2,2
Western Michigan,FBS - MAC,2,2
Colorado,Pac 12,2,2
Marshall,FBS - CUSA,2,1
Wake Forest,ACC,2,1
Florida International,FBS - CUSA,2,1
North Dakota State,FCS,2,1
McNeese State,FCS,2,1
Jackson State,FCS,1,1
South Carolina State,FCS,1,1
San Diego State,FBS - Mountain West,1,1
Navy,FBS - AAC,1,1
Southern Miss,FBS - CUSA,1,1
Louisiana Tech,FBS - CUSA,1,1
Wyoming,FBS - Mountain West,1,1
Hawaii,FBS - Mountain West,1,1
Ball State,FBS - MAC,1,1
Georgia Tech,ACC,1,1
Jacksonville State,FCS,1,1
South Florida,FBS - AAC,1,1
Sam Houston State,FCS,1,1
Vanderbilt,SEC,1,1
Lindenwood,D2,1,1
Kent State,FBS - MAC,1,1
Georgia Southern,FBS - Sun Belt,1,1
Middle Tennessee State,FBS - CUSA,1,1
