School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Georgia,SEC,234,21,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg
Alabama,SEC,143,18,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg
Ohio State,Big Ten,140,18,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg
Texas A&M,SEC,125,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_a&amp;m.svg
Michigan,Big Ten,123,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg
Cincinnati,FBS - AAC,119,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/cincinnati.svg
Penn State,Big Ten,105,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg
Oklahoma,Big 12,82,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma.svg
Clemson,ACC,80,15,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg
LSU,SEC,79,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg
Washington,Pac 12,75,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/washington.svg
Ole Miss,SEC,69,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi.svg
Oregon,Pac 12,65,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg
USC,Pac 12,62,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg
Kentucky,SEC,62,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kentucky.svg
Mississippi State,SEC,61,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi_st.svg
Notre Dame,FBS - Independent,60,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg
Purdue,Big Ten,56,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/purdue.svg
