School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Georgia,SEC,234,17,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg
Alabama,SEC,139,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg
Ohio State,Big Ten,128,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg
Michigan,Big Ten,126,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg
Texas A&M,SEC,122,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_a&m.svg
Cincinnati,FBS - AAC,116,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/cincinnati.svg
Penn State,Big Ten,113,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg
LSU,SEC,77,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg
Oklahoma,Big 12,72,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma.svg
Kentucky,SEC,69,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kentucky.svg
USC,Pac 12,65,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg
Oregon,Pac 12,62,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg
Notre Dame,FBS - Independent,60,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg
Mississippi State,SEC,59,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi_st.svg
Washington,Pac 12,59,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/washington.svg
Ole Miss,SEC,56,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi.svg
Purdue,Big Ten,55,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/purdue.svg
Iowa,Big Ten,53,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa.svg
Florida,SEC,53,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida.svg
Arkansas,SEC,52,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arkansas.svg
