School,Conference,ProjectedPoints,NumberOfProspects
Georgia,SEC,216,22
Alabama,SEC,192,22
Ohio State,Big Ten,158,18
Texas A&M,SEC,136,14
Michigan,Big Ten,122,14
Cincinnati,FBS - AAC,119,12
Penn State,Big Ten,109,13
Oklahoma,Big 12,83,18
Washington,Pac 12,80,8
Notre Dame,FBS - Independent,77,13
LSU,SEC,74,13
Clemson,ACC,72,16
Ole Miss,SEC,69,13
Oregon,Pac 12,65,10
Kentucky,SEC,64,8
USC,Pac 12,63,10
Florida,SEC,62,8
Iowa,Big Ten,61,10
UCLA,Pac 12,56,12
Mississippi State,SEC,56,4
Purdue,Big Ten,56,3
Auburn,SEC,54,7
NC State,ACC,49,4
Arkansas,SEC,45,5
Pitt,ACC,44,6
Iowa State,Big 12,41,9
Nevada,FBS - Mountain West,38,4
South Carolina,SEC,37,7
North Carolina,ACC,36,6
Utah,Pac 12,34,5
Virginia Tech,ACC,32,11
Arizona State,Pac 12,32,8
Miami (FL),ACC,31,10
Boston College,ACC,31,6
Baylor,Big 12,28,9
Michigan State,Big Ten,28,8
Central Michigan,FBS - MAC,27,4
Florida State,ACC,26,3
Houston,FBS - AAC,26,3
Liberty,FCS,26,2
Minnesota,Big Ten,25,5
Northern Iowa,FCS,25,1
Wisconsin,Big Ten,24,7
San Diego State,FBS - Mountain West,23,5
Nebraska,Big Ten,23,4
Tennessee,SEC,20,5
TCU,Big 12,20,5
Western Kentucky,FBS - CUSA,20,4
Colorado State,FBS - Mountain West,20,1
Missouri,SEC,19,6
Coastal Carolina,FCS,19,5
Washington State,Pac 12,17,4
Virginia,ACC,16,7
SMU,FBS - AAC,16,3
UConn,FBS - AAC,16,2
Illinois,Big Ten,13,5
UTSA,FBS - CUSA,13,4
Louisiana-Lafayette,FBS - Sun Belt,13,3
Wake Forest,ACC,13,3
Memphis,FBS - AAC,11,6
Oklahoma State,Big 12,11,6
Indiana,Big Ten,11,5
Tulsa,FBS - AAC,11,3
Fresno State,FBS - Mountain West,11,3
Wyoming,FBS - Mountain West,11,2
South Alabama,FBS - Sun Belt,10,1
Boise State,FBS - Mountain West,10,1
BYU,FBS - Independent,9,3
San Jose State,FBS - Mountain West,8,4
Rutgers,Big Ten,8,4
Stanford,Pac 12,8,3
UAB,FBS - CUSA,8,3
West Virginia,Big 12,8,3
North Dakota State,FCS,7,3
Western Michigan,FBS - MAC,7,3
South Dakota State,FCS,7,2
Southern Utah,FCS,7,1
Miami (OH),FBS - MAC,6,2
Chattanooga,FCS,6,1
Appalachian State,FBS - Sun Belt,5,4
North Dakota,FCS,5,1
Florida International,FBS - CUSA,5,1
Fordham,FCS,5,1
Florida A&M,FCS,5,1
Texas,Big 12,4,4
Duke,ACC,4,2
Texas Tech,Big 12,3,3
Tulane,FBS - AAC,3,3
Louisville,ACC,3,3
California,Pac 12,3,3
UCF,FBS - AAC,3,3
Colorado,Pac 12,3,3
Buffalo,FBS - MAC,3,3
Syracuse,ACC,3,2
Sam Houston State,FCS,3,2
East Carolina,FBS - AAC,3,2
Maryland,Big Ten,2,2
North Texas,FBS - CUSA,2,2
Oregon State,Pac 12,2,2
Northwestern,Big Ten,2,1
Fayetteville State,D2,2,1
Montana State,FCS,2,1
Brown,FCS,2,1
Southern,FCS,1,1
South Carolina State,FCS,1,1
Villanova,FCS,1,1
Pittsburg State,D2,1,1
Utah State,FBS - Mountain West,1,1
Middle Tennessee State,FBS - CUSA,1,1
Toledo,FBS - MAC,1,1
Florida Atlantic,FBS - CUSA,1,1
Nicholls State,FCS,1,1
Jackson State,FCS,1,1
McNeese State,FCS,1,1
Marshall,FBS - CUSA,1,1
Navy,FBS - AAC,1,1
Georgia Tech,ACC,1,1
South Florida,FBS - AAC,1,1
Kent State,FBS - MAC,1,1
Ball State,FBS - MAC,1,1
Hawaii,FBS - Mountain West,1,1
Southern Miss,FBS - CUSA,1,1
Western Illinois,FCS,1,1
Lindenwood,D2,1,1
Troy,FBS - Sun Belt,1,1
