School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Georgia,SEC,234,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg
Alabama,SEC,154,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg
Texas A&M,SEC,127,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_a&m.svg
Michigan,Big Ten,117,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg
Cincinnati,FBS - AAC,116,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/cincinnati.svg
Ohio State,Big Ten,115,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg
Penn State,Big Ten,108,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg
LSU,SEC,80,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg
USC,Pac 12,67,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg
Ole Miss,SEC,67,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi.svg
Oklahoma,Big 12,66,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma.svg
Kentucky,SEC,64,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kentucky.svg
Washington,Pac 12,61,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/washington.svg
Oregon,Pac 12,59,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg
Notre Dame,FBS - Independent,58,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg
Clemson,ACC,57,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg
Purdue,Big Ten,56,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/purdue.svg
Florida,SEC,49,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida.svg
